repo_name,language,clone_url,github_id,created_at,topics,stars
ispring/webglobe,typescript,https://github.com/ispring/webglobe.git,4009299,2016-09-26,[],676
brookshi/hitchhiker,typescript,https://github.com/brookshi/hitchhiker.git,4012097,2016-09-26,[],2161
bitrinjani/r2,typescript,https://github.com/bitrinjani/r2.git,4012103,2017-10-28,[],730
tensorflow/tfjs-core,typescript,https://github.com/tensorflow/tfjs-core.git,4014616,2017-08-02,[],8524
tensorflow/tfjs-node,typescript,https://github.com/tensorflow/tfjs-node.git,4014627,2018-02-12,[],1030
tensorflow/tfjs-converter,typescript,https://github.com/tensorflow/tfjs-converter.git,4014631,2018-01-22,[],672
zenghongtu/mob,typescript,https://github.com/zenghongtu/mob.git,4016244,2019-04-23,[],973
coinbase/coinbase-pro-trading-toolkit,typescript,https://github.com/coinbase/coinbase-pro-trading-toolkit.git,4017268,2017-08-23,[],814
artsy/emission,typescript,https://github.com/artsy/emission.git,4017270,2016-02-24,[],620
react-navigation/navigation-ex,typescript,https://github.com/react-navigation/navigation-ex.git,4017272,2019-06-09,[],511
onivim/oni,typescript,https://github.com/onivim/oni.git,4018815,2016-11-16,[],11462
alexjlockwood/avocado,typescript,https://github.com/alexjlockwood/avocado.git,4018816,2017-11-14,[],1024
madou/element-motion,typescript,https://github.com/madou/element-motion.git,4018817,2016-06-13,[],833
ionic-team/ionic-app-scripts,typescript,https://github.com/ionic-team/ionic-app-scripts.git,4018822,2016-09-09,[],608
only-cliches/nano-sql,typescript,https://github.com/only-cliches/nano-sql.git,4019799,2016-12-07,"[""csv"", ""database"", ""history"", ""indexeddb"", ""isomorphic"", ""json"", ""leveldb"", ""localstorage"", ""nodejs"", ""nosql"", ""orm"", ""orm-library"", ""persistence"", ""rdbms"", ""sql"", ""sqlite"", ""taffydb"", ""trie"", ""typescript""]",785
awslabs/dynamodb-data-mapper-js,typescript,https://github.com/awslabs/dynamodb-data-mapper-js.git,4019802,2017-10-06,[],815
ethereum/js-ethereum-cryptography,typescript,https://github.com/ethereum/js-ethereum-cryptography.git,4019909,2019-09-25,"[""aes"", ""bip32"", ""bls12-381"", ""bn254"", ""cryptography"", ""ethereum"", ""keccak"", ""prng"", ""ripemd160"", ""scrypt"", ""secp256k1"", ""sha256"", ""sha3"", ""typescript""]",759
alexjlockwood/shapeshifter,typescript,https://github.com/alexjlockwood/shapeshifter.git,4020847,2016-12-24,[],3725
aedron/luoo.qy,typescript,https://github.com/aedron/luoo.qy.git,4020862,2017-02-18,[],542
stbui/angular-material-app,typescript,https://github.com/stbui/angular-material-app.git,4020864,2017-03-17,[],516
rwieruch/nextjs-firebase-authentication,typescript,https://github.com/rwieruch/nextjs-firebase-authentication.git,4020865,2020-01-14,[],598
apollographql/apollo-link,typescript,https://github.com/apollographql/apollo-link.git,4022334,2017-06-07,[],1439
lsqy/taro-music,typescript,https://github.com/lsqy/taro-music.git,4022336,2019-02-22,"[""music"", ""music-player"", ""react"", ""react-hooks"", ""redux"", ""taro"", ""taro-music"", ""taro-ui"", ""typescript"", ""weapp""]",1705
microsoft/dts-gen,typescript,https://github.com/microsoft/dts-gen.git,4023871,2016-08-25,[],2436
fulls1z3/universal,typescript,https://github.com/fulls1z3/universal.git,4023876,2017-03-27,[],707
yangshun/lago,typescript,https://github.com/yangshun/lago.git,4024775,2017-06-29,"[""algorithm"", ""data-structures"", ""javascript"", ""typescript""]",2741
lemoncode/react-typescript-samples,typescript,https://github.com/lemoncode/react-typescript-samples.git,4024777,2016-02-28,[],1819
ant-design/ant-design-pro-layout,typescript,https://github.com/ant-design/ant-design-pro-layout.git,4024778,2019-04-05,[],962
