repo_name,language,fixture_count,commit_count_with_fixtures,first_fixture_commit,last_fixture_commit,clone_url,agent_commits_touching_tests,rejected_mixed_test_diff,accepted,created_at,topics
handsontable/hyperformula,typescript,0,0,,,https://github.com/handsontable/hyperformula.git,1,0,1,2019-09-10T08:02:18,"[""calculation-engine"", ""evaluator"", ""excel"", ""forms"", ""formula"", ""headless-spreadsheet"", ""sheets"", ""spreadsheet"", ""typescript"", ""xls"", ""xlsx""]"
gre/gl-react,typescript,0,0,,,https://github.com/gre/gl-react.git,7,5,2,2015-08-17T03:49:51,"[""glsl"", ""react"", ""react-native"", ""universal"", ""webgl""]"
honkit/honkit,typescript,6,2,4cc4615861018b364c994153dc03efd0215d1153,e028912af5372c9b6a7b10c2cb5b9aa0c2a9cb5a,https://github.com/honkit/honkit.git,2,0,2,2020-06-13T12:16:48,"[""asciidoc"", ""book"", ""ebook"", ""gitbook"", ""honkit"", ""javascript"", ""markdown"", ""plugin""]"
homebridge/homebridge,typescript,11,5,a6db6577ce6f362f73f7124c42e8542c71082ee3,c2d9d7d34dcbfc9323964894117692346ea9f15c,https://github.com/homebridge/homebridge.git,49,17,32,2014-12-01T04:37:39,"[""hap"", ""homebridge"", ""homekit"", ""homekit-accessory-protocol"", ""homekit-api"", ""homekit-bridge"", ""siri""]"
hubtype/botonic,typescript,0,0,,,https://github.com/hubtype/botonic.git,2,2,0,2018-03-25T09:19:51,"[""bot-framework"", ""bots"", ""chatbots"", ""cms"", ""contentful"", ""conversational-apps"", ""conversational-interfaces"", ""conversational-ui"", ""dialogflow"", ""javascript"", ""nlp"", ""nlu"", ""react"", ""watson""]"
hydro-dev/hydro,typescript,0,0,,,https://github.com/hydro-dev/hydro.git,0,0,0,2020-04-01T10:14:19,"[""acm-icpc"", ""cpp"", ""hydro"", ""java"", ""mixed-judge"", ""mongodb"", ""node"", ""noip"", ""oi"", ""oj"", ""online-judge"", ""onlinejudge"", ""python"", ""vijos"", ""vj5""]"
ifandelse/machina.js,typescript,123,4,d2b42a84bdcc8b8771f5d2fcf96bb5a32bb78781,1c3dde06aeb3e3c41f58c1bd19c1285d4f494d1f,https://github.com/ifandelse/machina.js.git,8,3,5,2012-02-28T05:16:42,"[""fsm"", ""state-machine""]"
framer/motion,typescript,16,11,40d6eb4eb7ae286772f6a8464791c22585416879,51e82aad2f847e62462f4bccfd4de29d9ae5a3b1,https://github.com/framer/motion.git,203,96,107,2018-11-16T09:48:38,[]
gitpod-io/gitpod,typescript,1,1,a736c1b83bd781786af0da705d0acebabfba7862,a736c1b83bd781786af0da705d0acebabfba7862,https://github.com/gitpod-io/gitpod.git,32,3,29,2018-04-24T03:56:54,"[""cde"", ""cloud"", ""cloud-development"", ""cloud-development-environments"", ""cloud-ide"", ""code-review"", ""dev-environment"", ""developer-environment"", ""developer-experience"", ""disposable"", ""editor"", ""ephemeral"", ""gitpod"", ""ide"", ""jetbrains"", ""prebuilds"", ""remote-development"", ""remote-devtools"", ""vscode""]"
imbhargav5/rooks,typescript,42,11,2b65024e5acae77868134b8b97904624fa872351,3f3c428d125730caaed20cdda64f7ce2b31c6dc6,https://github.com/imbhargav5/rooks.git,22,8,14,2018-11-08T04:14:39,"[""hook"", ""hooks"", ""react"", ""react-hook"", ""react-hooks"", ""reactjs"", ""rooks"", ""typescript""]"
home-assistant/frontend,typescript,3,2,0c25f061ef92e21696554564cdd64e98a23a93ca,7e60fbb66ee8099c4166157799d82f16e812e720,https://github.com/home-assistant/frontend.git,24,12,12,2015-07-12T11:58:06,"[""frontend"", ""hacktoberfest"", ""home-assistant"", ""home-automation"", ""lit-element"", ""polymer"", ""webcomponents""]"
forcedotcom/salesforcedx-vscode,typescript,58,10,a5c93fccb18d02c1289327dd5c85b51dea0ddfdd,3cda8d6d5a394d54d732c1e04fc615794bcbb44f,https://github.com/forcedotcom/salesforcedx-vscode.git,199,155,44,2017-06-21T03:53:45,"[""apex"", ""lightning"", ""salesforce"", ""salesforcedx"", ""typescript"", ""vscode-debugger"", ""vscode-extension"", ""vscode-language""]"
instawork/hyperview,typescript,0,0,,,https://github.com/instawork/hyperview.git,0,0,0,2018-07-25T06:02:29,[]
jamiebrynes7/obsidian-todoist-plugin,typescript,0,0,,,https://github.com/jamiebrynes7/obsidian-todoist-plugin.git,1,1,0,2020-08-29T02:13:28,"[""obsidian"", ""obsidian-md"", ""obsidian-plugin"", ""todoist""]"
javascript-obfuscator/javascript-obfuscator,typescript,0,0,,,https://github.com/javascript-obfuscator/javascript-obfuscator.git,0,0,0,2016-05-09T08:16:53,"[""browser"", ""control-flow"", ""cryptography"", ""encoding"", ""flattening"", ""flow"", ""javascript"", ""javascript-obfuscator"", ""js-obfuscator"", ""literal"", ""mangle"", ""nodejs"", ""obfuscate"", ""obfuscation"", ""obfuscator"", ""protection"", ""security"", ""string"", ""typescript"", ""uglify""]"
jcmais/node-libcurl,typescript,0,0,,,https://github.com/jcmais/node-libcurl.git,0,0,0,2014-04-16T11:32:43,"[""c-plus-plus"", ""curl"", ""ftp"", ""hacktoberfest"", ""http-client"", ""http2"", ""http3"", ""javascript"", ""libcurl"", ""libcurl-binding"", ""node-addon"", ""node-gyp"", ""node-module"", ""nodejs"", ""prebuilt-binaries"", ""quic""]"
iorate/ublacklist,typescript,0,0,,,https://github.com/iorate/ublacklist.git,26,16,10,2018-06-25T03:41:25,"[""blocker"", ""chrome-extension"", ""firefox-extension"", ""google-search""]"
azure/azure-sdk-for-js,typescript,188,23,38abf3ed45375b4b0f5a0c5e2259d7dc0064af4f,cd4f7daafb6cdb356e104a5b1ce37065a7dfacc1,https://github.com/azure/azure-sdk-for-js.git,205,142,63,2017-10-25T06:44:09,"[""azure"", ""azure-sdk"", ""browser"", ""hacktoberfest"", ""javascript"", ""nodejs"", ""typescript""]"
