repo_name,language,domain,clone_url
apache/ofbiz-framework,java,web,https://github.com/apache/ofbiz-framework.git
apache/servicecomb-pack,java,infra,https://github.com/apache/servicecomb-pack.git
kilim/kilim,java,library,https://github.com/kilim/kilim.git
apache/sedona,java,data,https://github.com/apache/sedona.git
dlsc-software-consulting-gmbh/formsfx,java,library,https://github.com/dlsc-software-consulting-gmbh/formsfx.git
eishay/jvm-serializers,java,library,https://github.com/eishay/jvm-serializers.git
powerjob/powerjob,java,infra,https://github.com/powerjob/powerjob.git
banq/jivejdon,java,data,https://github.com/banq/jivejdon.git
mojang/brigadier,java,cli,https://github.com/mojang/brigadier.git
goclipse/goclipse,java,cli,https://github.com/goclipse/goclipse.git
liuyangming/bytetcc,java,infra,https://github.com/liuyangming/bytetcc.git
nukkit/nukkit,java,infra,https://github.com/nukkit/nukkit.git
doocs/leetcode,java,data,https://github.com/doocs/leetcode.git
xinghongfei/looklook,java,web,https://github.com/xinghongfei/looklook.git
newbee-ltd/newbee-mall,java,web,https://github.com/newbee-ltd/newbee-mall.git
bridata/dbus,java,data,https://github.com/bridata/dbus.git
flowci/flow-core-x,java,infra,https://github.com/flowci/flow-core-x.git
tencent/tencentkona-8,java,infra,https://github.com/tencent/tencentkona-8.git
jumpmind/symmetric-ds,java,data,https://github.com/jumpmind/symmetric-ds.git
google/j2cl,java,library,https://github.com/google/j2cl.git
jingzhuanduoying/jzandroidchart,java,library,https://github.com/jingzhuanduoying/jzandroidchart.git
tduckcloud/tduck-platform,java,data,https://github.com/tduckcloud/tduck-platform.git
kestra-io/kestra,java,infra,https://github.com/kestra-io/kestra.git
jcabi/jcabi-aspects,java,library,https://github.com/jcabi/jcabi-aspects.git
qihoo360/quicksql,java,data,https://github.com/qihoo360/quicksql.git
pinterest/teletraan,java,infra,https://github.com/pinterest/teletraan.git
kalessil/phpinspectionsea,java,library,https://github.com/kalessil/phpinspectionsea.git
AxonIQ/AxonFramework,java,library,https://github.com/AxonIQ/AxonFramework.git
java-aid/hackerrank-solutions,java,data,https://github.com/java-aid/hackerrank-solutions.git
apache/dubbo-samples,java,library,https://github.com/apache/dubbo-samples.git
didi/dokit,java,cli,https://github.com/didi/dokit.git
