repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,agent_type,commit_kind
StarRocks/starrocks,java,33ffb02a62d8adbfea63467cfd5d2e6653900243,fe/fe-core/src/test/java/com/starrocks/authorization/SetRoleInformationSchemaTest.java,setUp,junit5_before_all,82,135,44,junit,0,claude,agent
StarRocks/starrocks,java,33ffb02a62d8adbfea63467cfd5d2e6653900243,fe/fe-core/src/test/java/com/starrocks/authorization/SetRoleInformationSchemaTest.java,tearDown,junit5_after_all,137,141,5,junit,0,claude,agent
StarRocks/starrocks,java,aa8cedb312294bb7948fec3384f229f4a319afee,fe/fe-core/src/test/java/com/starrocks/lake/TabletWriteLogHistorySyncerTest.java,beforeAll,junit5_before_all,38,42,5,junit,0,claude,agent
StarRocks/starrocks,java,aa8cedb312294bb7948fec3384f229f4a319afee,fe/fe-core/src/test/java/com/starrocks/lake/TabletWriteLogHistorySyncerTest.java,setUp,junit5_before_each,44,47,4,junit,0,claude,agent
StarRocks/starrocks,java,59549dd38ba7a2c8fe6073d62823acf204224f21,fe/fe-core/src/test/java/com/starrocks/sql/plan/ScalarOperatorToExecExprTest.java,setUp,junit5_before_all,85,88,4,junit,0,claude,agent
StarRocks/starrocks,java,59549dd38ba7a2c8fe6073d62823acf204224f21,fe/fe-core/src/test/java/com/starrocks/sql/plan/ScalarOperatorToExecExprTest.java,tearDown,junit5_after_all,90,93,4,junit,0,claude,agent
StarRocks/starrocks,java,9cbf6d3b0669baf41cbcda68aa2bd6247c71786d,fe/fe-core/src/test/java/com/starrocks/sql/analyzer/mv/IVMAnalyzerTest.java,beforeClass,junit5_before_all,42,45,4,junit,0,claude,agent
StarRocks/starrocks,java,594a6d156cbc74da7b99252a38c1e4b5c3802837,fe/fe-core/src/test/java/com/starrocks/catalog/ColocateRangeMgrReplayTest.java,setUp,junit5_before_each,62,67,6,junit,0,claude,agent
StarRocks/starrocks,java,594a6d156cbc74da7b99252a38c1e4b5c3802837,fe/fe-core/src/test/java/com/starrocks/catalog/ColocateRangeMgrReplayTest.java,tearDown,junit5_after_each,69,73,5,junit,0,claude,agent
StarRocks/starrocks,java,00b0942853abb82a99d39e169755c7aaf664592f,fe/fe-core/src/test/java/com/starrocks/alter/reshard/SplitTabletJobColocateTest.java,beforeClass,junit5_before_all,86,102,15,junit,1,claude,agent
StarRocks/starrocks,java,00b0942853abb82a99d39e169755c7aaf664592f,fe/fe-core/src/test/java/com/starrocks/alter/reshard/SplitTabletJobColocateTest.java,setUp,junit5_before_each,104,116,13,junit,0,claude,agent
StarRocks/starrocks,java,00b0942853abb82a99d39e169755c7aaf664592f,fe/fe-core/src/test/java/com/starrocks/alter/reshard/SplitTabletJobColocateTest.java,tearDown,junit5_after_each,118,126,9,junit,0,claude,agent
StarRocks/starrocks,java,5548b90954170ec802ff67be9441bc91b836984b,fe/fe-core/src/test/java/com/starrocks/mysql/MysqlChannelTest.java,setUp,junit5_before_each,48,51,4,junit,0,claude,agent
StarRocks/starrocks,java,5548b90954170ec802ff67be9441bc91b836984b,fe/fe-core/src/test/java/com/starrocks/mysql/MysqlChannelTest.java,tearDown,junit5_after_each,53,56,4,junit,0,claude,agent
StarRocks/starrocks,java,9e185f90089d98391f7307f5954b62f89ca5af9a,fe/fe-core/src/test/java/com/starrocks/sql/analyzer/InsertAnalyzerFilesSchemaPushDownTest.java,beforeAll,junit5_before_all,23,29,7,junit,0,claude,agent
