repo_name,language,domain,clone_url
nosqlclient/nosqlclient,javascript,infra,https://github.com/nosqlclient/nosqlclient.git
lucidworks/banana,javascript,data,https://github.com/lucidworks/banana.git
igorkasyanchuk/rails_db,javascript,cli,https://github.com/igorkasyanchuk/rails_db.git
alexmojaki/birdseye,javascript,library,https://github.com/alexmojaki/birdseye.git
pipedreamhq/pipedream,javascript,cli,https://github.com/pipedreamhq/pipedream.git
rwjblue/pivot.js,javascript,data,https://github.com/rwjblue/pivot.js.git
omnidb/omnidb,javascript,other,https://github.com/omnidb/omnidb.git
mapstraction/mxn,javascript,library,https://github.com/mapstraction/mxn.git
marcrobledo/rompatcher.js,javascript,cli,https://github.com/marcrobledo/rompatcher.js.git
prettier/prettier-atom,javascript,cli,https://github.com/prettier/prettier-atom.git
yelog/hexo-theme-3-hexo,javascript,web,https://github.com/yelog/hexo-theme-3-hexo.git
ashung/automate-sketch,javascript,cli,https://github.com/ashung/automate-sketch.git
sdras/object-explorer,javascript,web,https://github.com/sdras/object-explorer.git
line/promgen,javascript,infra,https://github.com/line/promgen.git
SplashtopInc/winstall,javascript,cli,https://github.com/SplashtopInc/winstall.git
kovacsv/jsmodeler,javascript,web,https://github.com/kovacsv/jsmodeler.git
facebookarchive/flux,javascript,library,https://github.com/facebookarchive/flux.git
webtorrent/webtorrent-desktop,javascript,web,https://github.com/webtorrent/webtorrent-desktop.git
openlayers/openlayers,javascript,library,https://github.com/openlayers/openlayers.git
rauenzi/betterdiscordapp,javascript,cli,https://github.com/rauenzi/betterdiscordapp.git
edwinvw/pitstop,javascript,infra,https://github.com/edwinvw/pitstop.git
mikehostetler/amplify,javascript,library,https://github.com/mikehostetler/amplify.git
js-kyle/mincer,javascript,cli,https://github.com/js-kyle/mincer.git
codingtrain/website-archive,javascript,web,https://github.com/codingtrain/website-archive.git
gladysassistant/gladys,javascript,infra,https://github.com/gladysassistant/gladys.git
apache/cordova-android,javascript,library,https://github.com/apache/cordova-android.git
tylermcginnis/re-base,javascript,library,https://github.com/tylermcginnis/re-base.git
mailcow/mailcow-dockerized,javascript,infra,https://github.com/mailcow/mailcow-dockerized.git
inlife/nexrender,javascript,cli,https://github.com/inlife/nexrender.git
mjmlio/mjml,javascript,cli,https://github.com/mjmlio/mjml.git
dash-industry-forum/dash.js,javascript,library,https://github.com/dash-industry-forum/dash.js.git
mozilla-comm/ical.js,javascript,library,https://github.com/mozilla-comm/ical.js.git
cjoudrey/graphql-schema-linter,javascript,cli,https://github.com/cjoudrey/graphql-schema-linter.git
be5invis/iosevka,javascript,library,https://github.com/be5invis/iosevka.git
tonytomov/jqgrid,javascript,web,https://github.com/tonytomov/jqgrid.git
