repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,processed_at
docmirror/dev-sidecar,1,javascript,22279,https://github.com/docmirror/dev-sidecar.git,17,,2026-05-26T00:53:31.399680+00:00
bottelet/daybydaycrm,1,javascript,2315,https://github.com/bottelet/daybydaycrm.git,26,,2026-05-26T00:53:35.875355+00:00
haraka/haraka,1,javascript,5566,https://github.com/haraka/haraka.git,181,,2026-05-26T00:54:05.004695+00:00
harvard-lil/perma,1,javascript,509,https://github.com/harvard-lil/perma.git,38,,2026-05-26T00:54:08.618455+00:00
bpmn-io/diagram-js,1,javascript,1901,https://github.com/bpmn-io/diagram-js.git,56,,2026-05-26T00:54:08.749903+00:00
actions/javascript-action,1,javascript,1172,https://github.com/actions/javascript-action.git,28,,2026-05-26T00:54:11.515343+00:00
marktext/marktext,1,javascript,56203,https://github.com/marktext/marktext.git,152,,2026-05-26T00:54:26.901398+00:00
patriksimek/vm2,1,javascript,4061,https://github.com/patriksimek/vm2.git,35,,2026-05-26T00:54:50.540156+00:00
adlered/csdngreener,1,javascript,4171,https://github.com/adlered/csdngreener.git,8,,2026-05-26T00:54:58.912803+00:00
mulesoft/api-console,1,javascript,908,https://github.com/mulesoft/api-console.git,45,,2026-05-26T00:55:02.141455+00:00
krausest/js-framework-benchmark,1,javascript,7411,https://github.com/krausest/js-framework-benchmark.git,312,,2026-05-26T00:55:02.270644+00:00
zotero/translators,1,javascript,1615,https://github.com/zotero/translators.git,260,,2026-05-26T00:55:09.989116+00:00
damian-pastorini/reldens,1,javascript,558,https://github.com/damian-pastorini/reldens.git,6,,2026-05-26T00:55:15.793336+00:00
zxlie/fehelper,1,javascript,5599,https://github.com/zxlie/fehelper.git,21,,2026-05-26T00:55:27.455983+00:00
qdleader/qdleader,1,javascript,1472,https://github.com/qdleader/qdleader.git,2,,2026-05-26T00:55:42.890686+00:00
inavflight/inav-configurator,1,javascript,764,https://github.com/inavflight/inav-configurator.git,131,,2026-05-26T00:55:54.398979+00:00
moleculerjs/moleculer,1,javascript,6365,https://github.com/moleculerjs/moleculer.git,126,,2026-05-26T00:56:00.148739+00:00
jeremydaly/lambda-api,1,javascript,1468,https://github.com/jeremydaly/lambda-api.git,31,,2026-05-26T00:56:04.176499+00:00
didi/mpx,1,javascript,3892,https://github.com/didi/mpx.git,70,,2026-05-26T00:56:48.463635+00:00
rstudio/shiny-server,1,javascript,756,https://github.com/rstudio/shiny-server.git,26,,2026-05-26T00:56:51.477833+00:00
abalabahaha/eris,1,javascript,1507,https://github.com/abalabahaha/eris.git,135,,2026-05-26T00:56:51.489411+00:00
nodemailer/wildduck,1,javascript,1955,https://github.com/nodemailer/wildduck.git,41,,2026-05-26T00:56:51.862900+00:00
imaegoo/twikoo,1,javascript,1007,https://github.com/imaegoo/twikoo.git,30,,2026-05-26T00:57:00.281022+00:00
alpinejs/alpine,1,javascript,16405,https://github.com/alpinejs/alpine.git,115,,2026-05-26T00:57:24.527936+00:00
pcottle/learngitbranching,1,javascript,33473,https://github.com/pcottle/learngitbranching.git,314,,2026-05-26T00:57:25.288866+00:00
lacymorrow/crossover,1,javascript,1168,https://github.com/lacymorrow/crossover.git,13,,2026-05-26T00:58:19.305060+00:00
nodemailer/nodemailer,1,javascript,17565,https://github.com/nodemailer/nodemailer.git,129,,2026-05-26T00:58:23.583965+00:00
skyvers/skyve,1,javascript,501,https://github.com/skyvers/skyve.git,19,,2026-05-26T00:58:41.080526+00:00
scality/cloudserver,1,javascript,1920,https://github.com/scality/cloudserver.git,60,,2026-05-26T00:59:52.268212+00:00
dawidd6/action-send-mail,1,javascript,584,https://github.com/dawidd6/action-send-mail.git,30,,2026-05-26T01:00:22.078482+00:00
vendia/serverless-express,1,javascript,4843,https://github.com/vendia/serverless-express.git,47,,2026-05-26T01:00:39.539742+00:00
increpare/puzzlescript,1,javascript,1055,https://github.com/increpare/puzzlescript.git,26,,2026-05-26T01:00:44.278896+00:00
marko-js/marko,1,javascript,14373,https://github.com/marko-js/marko.git,128,,2026-05-26T01:00:45.148280+00:00
clientio/joint,1,javascript,5260,https://github.com/clientio/joint.git,82,,2026-05-26T01:01:24.142534+00:00
wps/domain-story-modeler,1,javascript,634,https://github.com/wps/domain-story-modeler.git,12,,2026-05-26T01:01:49.409097+00:00
bfirsh/jsnes,1,javascript,6388,https://github.com/bfirsh/jsnes.git,39,,2026-05-26T01:02:12.695766+00:00
agershun/alasql,1,javascript,5810,https://github.com/agershun/alasql.git,66,,2026-05-26T01:02:12.898399+00:00
brasilapi/brasilapi,1,javascript,10477,https://github.com/brasilapi/brasilapi.git,98,,2026-05-26T01:02:15.473123+00:00
nuknightlab/timelinejs3,1,javascript,3183,https://github.com/nuknightlab/timelinejs3.git,44,,2026-05-26T01:02:19.136408+00:00
zotero/zotero,1,javascript,14266,https://github.com/zotero/zotero.git,84,,2026-05-26T01:02:19.472749+00:00
hovancik/stretchly,1,javascript,6250,https://github.com/hovancik/stretchly.git,251,,2026-05-26T01:02:26.947716+00:00
zapier/zapier-platform,1,javascript,505,https://github.com/zapier/zapier-platform.git,75,,2026-05-26T01:02:38.630722+00:00
