repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,processed_at
vyperlang/vyper,1,python,5182,https://github.com/vyperlang/vyper.git,224,,2026-05-26T03:49:24.750238+00:00
etal/cnvkit,1,python,610,https://github.com/etal/cnvkit.git,34,,2026-05-26T03:49:52.396026+00:00
mampfes/hacs_waste_collection_schedule,1,python,2054,https://github.com/mampfes/hacs_waste_collection_schedule.git,427,,2026-05-26T03:49:56.173272+00:00
agronholm/anyio,1,python,2472,https://github.com/agronholm/anyio.git,78,,2026-05-26T03:50:47.388071+00:00
brainix/pottery,1,python,1242,https://github.com/brainix/pottery.git,4,,2026-05-26T03:51:01.967019+00:00
trailofbits/algo,1,python,30236,https://github.com/trailofbits/algo.git,186,,2026-05-26T03:51:13.447725+00:00
emilstenstrom/django-components,1,python,1244,https://github.com/emilstenstrom/django-components.git,43,,2026-05-26T03:51:13.524118+00:00
pwndbg/pwndbg,1,python,10448,https://github.com/pwndbg/pwndbg.git,294,,2026-05-26T03:51:36.777842+00:00
contextlab/hypertools,1,python,1879,https://github.com/contextlab/hypertools.git,18,,2026-05-26T03:51:58.297115+00:00
kdeldycke/meta-package-manager,1,python,591,https://github.com/kdeldycke/meta-package-manager.git,22,,2026-05-26T03:52:11.006234+00:00
kennbroorg/iky,1,python,943,https://github.com/kennbroorg/iky.git,5,,2026-05-26T03:52:24.449853+00:00
aio-libs/yarl,1,python,1482,https://github.com/aio-libs/yarl.git,101,,2026-05-26T03:52:52.746621+00:00
jkwill87/mnamer,1,python,1105,https://github.com/jkwill87/mnamer.git,9,,2026-05-26T03:53:02.963369+00:00
huggingface/huggingface_hub,1,python,3629,https://github.com/huggingface/huggingface_hub.git,318,,2026-05-26T03:53:14.339568+00:00
crossbario/autobahn-python,1,python,2537,https://github.com/crossbario/autobahn-python.git,115,,2026-05-26T03:53:23.490999+00:00
quantecon/quantecon.py,1,python,2318,https://github.com/quantecon/quantecon.py.git,46,,2026-05-26T03:53:24.100672+00:00
pycqa/pylint,1,python,3741,https://github.com/pycqa/pylint.git,375,,2026-05-26T03:53:24.225103+00:00
conda/conda,1,python,7408,https://github.com/conda/conda.git,447,,2026-05-26T03:53:24.247657+00:00
imageio/imageio,1,python,1697,https://github.com/imageio/imageio.git,112,,2026-05-26T03:53:28.505994+00:00
freeopcua/opcua-client-gui,1,python,644,https://github.com/freeopcua/opcua-client-gui.git,10,,2026-05-26T03:53:43.824336+00:00
reactivex/rxpy,1,python,5010,https://github.com/reactivex/rxpy.git,86,,2026-05-26T03:53:52.743694+00:00
acl-org/acl-anthology,1,python,723,https://github.com/acl-org/acl-anthology.git,266,,2026-05-26T03:54:04.466689+00:00
ranaroussi/quantstats,1,python,6588,https://github.com/ranaroussi/quantstats.git,30,,2026-05-26T03:54:14.440216+00:00
s3ql/s3ql,1,python,1243,https://github.com/s3ql/s3ql.git,42,,2026-05-26T03:54:14.498316+00:00
custom-components/alexa_media_player,1,python,1148,https://github.com/custom-components/alexa_media_player.git,42,,2026-05-26T03:54:51.465130+00:00
nolar/kopf,1,python,2597,https://github.com/nolar/kopf.git,63,,2026-05-26T03:54:53.285493+00:00
amphibian-dev/toad,1,python,525,https://github.com/amphibian-dev/toad.git,8,,2026-05-26T03:55:02.374609+00:00
xesscorp/skidl,1,python,676,https://github.com/xesscorp/skidl.git,18,,2026-05-26T03:55:02.536387+00:00
nicolargo/glances,1,python,32640,https://github.com/nicolargo/glances.git,208,,2026-05-26T03:55:11.651651+00:00
music-assistant/server,1,python,1578,https://github.com/music-assistant/server.git,173,,2026-05-26T03:55:12.605376+00:00
mozilla/openwpm,1,python,1159,https://github.com/mozilla/openwpm.git,46,,2026-05-26T03:55:23.214337+00:00
profusion/sgqlc,1,python,551,https://github.com/profusion/sgqlc.git,30,,2026-05-26T03:55:37.807067+00:00
netflix/metaflow,1,python,10108,https://github.com/netflix/metaflow.git,133,,2026-05-26T03:55:51.567906+00:00
mirumee/ariadne,1,python,2342,https://github.com/mirumee/ariadne.git,77,,2026-05-26T03:56:00.548994+00:00
aio-libs/aiobotocore,1,python,1411,https://github.com/aio-libs/aiobotocore.git,70,,2026-05-26T03:56:02.861847+00:00
reactionmechanismgenerator/rmg-py,1,python,517,https://github.com/reactionmechanismgenerator/rmg-py.git,81,,2026-05-26T03:56:21.732379+00:00
tmux-python/tmuxp,1,python,4502,https://github.com/tmux-python/tmuxp.git,68,,2026-05-26T03:56:33.986067+00:00
slackapi/python-slack-sdk,1,python,4003,https://github.com/slackapi/python-slack-sdk.git,159,,2026-05-26T03:56:35.592798+00:00
django-import-export/django-import-export,1,python,3323,https://github.com/django-import-export/django-import-export.git,217,,2026-05-26T03:56:38.352832+00:00
exa-networks/exabgp,1,python,2269,https://github.com/exa-networks/exabgp.git,115,,2026-05-26T03:56:50.307753+00:00
coin-or/pulp,1,python,2443,https://github.com/coin-or/pulp.git,101,,2026-05-26T03:56:53.367375+00:00
pyca/cryptography,1,python,7599,https://github.com/pyca/cryptography.git,344,,2026-05-26T03:56:54.645609+00:00
stripe/stripe-python,1,python,2006,https://github.com/stripe/stripe-python.git,136,,2026-05-26T03:56:54.728287+00:00
lyft/cartography,1,python,2982,https://github.com/lyft/cartography.git,86,,2026-05-26T03:56:54.881202+00:00
slackapi/bolt-python,1,python,1305,https://github.com/slackapi/bolt-python.git,58,,2026-05-26T03:57:17.255943+00:00
catalyst-cooperative/pudl,1,python,587,https://github.com/catalyst-cooperative/pudl.git,51,,2026-05-26T03:57:18.291314+00:00
archivebox/archivebox,1,python,27499,https://github.com/archivebox/archivebox.git,129,,2026-05-26T03:57:23.060895+00:00
open-telemetry/opentelemetry-python-contrib,1,python,1050,https://github.com/open-telemetry/opentelemetry-python-contrib.git,434,,2026-05-26T03:57:24.139624+00:00
ludwig-ai/ludwig,1,python,11703,https://github.com/ludwig-ai/ludwig.git,148,,2026-05-26T03:57:24.411478+00:00
wkentaro/labelme,1,python,15906,https://github.com/wkentaro/labelme.git,63,,2026-05-26T03:57:26.083522+00:00
xonsh/xonsh,1,python,9457,https://github.com/xonsh/xonsh.git,340,,2026-05-26T03:57:26.465100+00:00
eirannejad/pyrevit,1,python,1198,https://github.com/eirannejad/pyrevit.git,51,,2026-05-26T03:57:27.538548+00:00
netbox-community/netbox,1,python,20559,https://github.com/netbox-community/netbox.git,350,,2026-05-26T03:57:35.771333+00:00
kayak/pypika,1,python,2882,https://github.com/kayak/pypika.git,98,,2026-05-26T03:57:49.999761+00:00
gijzelaerr/python-snap7,1,python,797,https://github.com/gijzelaerr/python-snap7.git,48,,2026-05-26T03:58:07.004463+00:00
man-group/notebooker,1,python,919,https://github.com/man-group/notebooker.git,15,,2026-05-26T03:58:09.409008+00:00
aiidateam/aiida-core,1,python,565,https://github.com/aiidateam/aiida-core.git,102,,2026-05-26T03:58:20.736322+00:00
open-catalyst-project/ocp,1,python,628,https://github.com/open-catalyst-project/ocp.git,33,,2026-05-26T03:58:21.743323+00:00
pythainlp/pythainlp,1,python,1133,https://github.com/pythainlp/pythainlp.git,60,,2026-05-26T03:59:18.641385+00:00
drakkar-software/octobot,1,python,5980,https://github.com/drakkar-software/octobot.git,18,,2026-05-26T03:59:19.061276+00:00
dipu-bd/lightnovel-crawler,1,python,1973,https://github.com/dipu-bd/lightnovel-crawler.git,89,,2026-05-26T03:59:26.177286+00:00
microsoft/msticpy,1,python,1968,https://github.com/microsoft/msticpy.git,62,,2026-05-26T03:59:42.429244+00:00
efroemling/ballistica,1,python,664,https://github.com/efroemling/ballistica.git,30,,2026-05-26T04:00:03.003300+00:00
opencti-platform/connectors,1,python,543,https://github.com/opencti-platform/connectors.git,294,,2026-05-26T04:00:03.046856+00:00
ethereum/eth2.0-specs,1,python,2027,https://github.com/ethereum/eth2.0-specs.git,98,,2026-05-26T04:00:11.923780+00:00
deepset-ai/haystack,1,python,23159,https://github.com/deepset-ai/haystack.git,293,,2026-05-26T04:00:13.736511+00:00
ewels/multiqc,1,python,1048,https://github.com/ewels/multiqc.git,193,,2026-05-26T04:00:21.659527+00:00
quark-engine/quark-engine,1,python,1550,https://github.com/quark-engine/quark-engine.git,28,,2026-05-26T04:00:22.751456+00:00
zentralopensource/zentral,1,python,862,https://github.com/zentralopensource/zentral.git,24,,2026-05-26T04:00:23.444270+00:00
