repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,processed_at
codelibs/fess,1,java,1111,https://github.com/codelibs/fess.git,36,,2026-05-25T22:51:30.505530+00:00
konsoletyper/teavm,1,java,3049,https://github.com/konsoletyper/teavm.git,68,,2026-05-25T22:51:31.519363+00:00
optimatika/ojalgo,1,java,501,https://github.com/optimatika/ojalgo.git,16,,2026-05-25T22:51:47.316630+00:00
linkedin/ambry,1,java,1788,https://github.com/linkedin/ambry.git,68,,2026-05-25T22:51:55.015814+00:00
skadistats/clarity,1,java,750,https://github.com/skadistats/clarity.git,13,,2026-05-25T22:52:56.010529+00:00
apache/struts,1,java,1356,https://github.com/apache/struts.git,81,,2026-05-25T22:53:42.563057+00:00
glowroot/glowroot,1,java,1336,https://github.com/glowroot/glowroot.git,28,,2026-05-25T22:54:08.400769+00:00
domaframework/doma,1,java,500,https://github.com/domaframework/doma.git,43,,2026-05-25T22:54:30.706638+00:00
jabref/jabref,1,java,4344,https://github.com/jabref/jabref.git,337,,2026-05-25T22:55:16.343791+00:00
xipki/xipki,1,java,586,https://github.com/xipki/xipki.git,7,,2026-05-25T22:55:21.243381+00:00
questdb/questdb,1,java,16975,https://github.com/questdb/questdb.git,170,,2026-05-25T22:56:52.482666+00:00
apache/incubator-pinot,1,java,3170,https://github.com/apache/incubator-pinot.git,174,,2026-05-25T22:58:22.137226+00:00
codecentric/spring-boot-admin,1,java,12832,https://github.com/codecentric/spring-boot-admin.git,166,,2026-05-25T22:59:34.055808+00:00
btraceio/btrace,1,java,5989,https://github.com/btraceio/btrace.git,26,,2026-05-25T23:00:22.519525+00:00
digitalpetri/modbus,1,java,834,https://github.com/digitalpetri/modbus.git,5,,2026-05-25T23:00:37.840509+00:00
openhft/chronicle-wire,1,java,589,https://github.com/openhft/chronicle-wire.git,43,,2026-05-25T23:00:49.164127+00:00
microcks/microcks,1,java,1943,https://github.com/microcks/microcks.git,84,,2026-05-25T23:03:07.528053+00:00
facebook/fresco,1,java,17150,https://github.com/facebook/fresco.git,203,,2026-05-25T23:03:51.330034+00:00
randoop/randoop,1,java,592,https://github.com/randoop/randoop.git,29,,2026-05-25T23:05:13.593397+00:00
apache/groovy,1,java,5447,https://github.com/apache/groovy.git,358,,2026-05-25T23:05:16.976027+00:00
ulisesbocchio/jasypt-spring-boot,1,java,3053,https://github.com/ulisesbocchio/jasypt-spring-boot.git,28,,2026-05-25T23:05:27.675819+00:00
vaadin/flow,1,java,742,https://github.com/vaadin/flow.git,198,,2026-05-25T23:05:53.219488+00:00
bardsoftware/ganttproject,1,java,1060,https://github.com/bardsoftware/ganttproject.git,38,,2026-05-25T23:06:15.638282+00:00
graphql-java/graphql-java,1,java,6236,https://github.com/graphql-java/graphql-java.git,236,,2026-05-25T23:06:23.810814+00:00
sky-map-team/stardroid,1,java,1694,https://github.com/sky-map-team/stardroid.git,41,,2026-05-25T23:06:26.468789+00:00
typetools/checker-framework,1,java,1138,https://github.com/typetools/checker-framework.git,149,,2026-05-25T23:06:36.727585+00:00
pengrad/java-telegram-bot-api,1,java,1960,https://github.com/pengrad/java-telegram-bot-api.git,21,,2026-05-25T23:06:47.251800+00:00
triplea-game/triplea,1,java,1524,https://github.com/triplea-game/triplea.git,75,,2026-05-25T23:06:49.336757+00:00
kagkarlsson/db-scheduler,1,java,1562,https://github.com/kagkarlsson/db-scheduler.git,73,,2026-05-25T23:07:29.095751+00:00
fabric8io/kubernetes-client,1,java,3657,https://github.com/fabric8io/kubernetes-client.git,342,,2026-05-25T23:07:49.540069+00:00
castorini/anserini,1,java,1132,https://github.com/castorini/anserini.git,389,,2026-05-25T23:09:48.814071+00:00
crossoverjie/cim,1,java,9486,https://github.com/crossoverjie/cim.git,16,,2026-05-25T23:13:46.060326+00:00
vladimir-bukhtoyarov/bucket4j,1,java,1457,https://github.com/vladimir-bukhtoyarov/bucket4j.git,32,,2026-05-25T23:14:38.360746+00:00
sofastack/sofa-ark,1,java,1637,https://github.com/sofastack/sofa-ark.git,62,,2026-05-25T23:15:06.895753+00:00
alibaba/qlexpress,1,java,5591,https://github.com/alibaba/qlexpress.git,12,,2026-05-25T23:15:07.942874+00:00
gessnerfl/fake-smtp-server,1,java,503,https://github.com/gessnerfl/fake-smtp-server.git,15,,2026-05-25T23:15:17.818824+00:00
chromiumembedded/java-cef,1,java,853,https://github.com/chromiumembedded/java-cef.git,28,,2026-05-25T23:17:21.276712+00:00
tartaricacid/touhoulittlemaid,1,java,764,https://github.com/tartaricacid/touhoulittlemaid.git,32,,2026-05-25T23:18:46.593503+00:00
bytedance/scene,1,java,2443,https://github.com/bytedance/scene.git,5,,2026-05-25T23:19:08.711677+00:00
softinstigate/restheart,1,java,876,https://github.com/softinstigate/restheart.git,32,,2026-05-25T23:19:20.703072+00:00
eclipse/milo,1,java,1164,https://github.com/eclipse/milo.git,22,,2026-05-25T23:19:27.336738+00:00
tronprotocol/wallet-cli,1,java,789,https://github.com/tronprotocol/wallet-cli.git,74,,2026-05-25T23:19:56.228519+00:00
viaversion/viabackwards,1,java,590,https://github.com/viaversion/viabackwards.git,48,,2026-05-25T23:20:00.126589+00:00
spair/imgui-java,1,java,790,https://github.com/spair/imgui-java.git,37,,2026-05-25T23:20:10.329287+00:00
openhft/zero-allocation-hashing,1,java,843,https://github.com/openhft/zero-allocation-hashing.git,22,,2026-05-25T23:20:36.441751+00:00
interestinglab/waterdrop,1,java,1657,https://github.com/interestinglab/waterdrop.git,14,,2026-05-25T23:20:40.214579+00:00
warmuuh/milkman,1,java,1315,https://github.com/warmuuh/milkman.git,14,,2026-05-25T23:20:40.374484+00:00
netflix/hollow,1,java,1365,https://github.com/netflix/hollow.git,61,,2026-05-25T23:22:00.548143+00:00
irockel/tda,1,java,543,https://github.com/irockel/tda.git,9,,2026-05-25T23:22:08.281032+00:00
dlsc-software-consulting-gmbh/gemsfx,1,java,616,https://github.com/dlsc-software-consulting-gmbh/gemsfx.git,20,,2026-05-25T23:22:26.919451+00:00
netflix/mantis,1,java,1461,https://github.com/netflix/mantis.git,44,,2026-05-25T23:22:49.359367+00:00
grishka/smithereen,1,java,527,https://github.com/grishka/smithereen.git,16,,2026-05-25T23:24:01.488512+00:00
baomidou/dynamic-datasource-spring-boot-starter,1,java,4098,https://github.com/baomidou/dynamic-datasource-spring-boot-starter.git,34,,2026-05-25T23:24:09.158186+00:00
eclipse/jkube,1,java,685,https://github.com/eclipse/jkube.git,220,,2026-05-25T23:24:20.781869+00:00
red5/red5-server,1,java,3396,https://github.com/red5/red5-server.git,13,,2026-05-25T23:24:21.987239+00:00
microsoft/mssql-jdbc,1,java,1128,https://github.com/microsoft/mssql-jdbc.git,96,,2026-05-25T23:24:24.786530+00:00
yahoo/athenz,1,java,540,https://github.com/yahoo/athenz.git,46,,2026-05-25T23:24:57.389314+00:00
lucee/lucee,1,java,915,https://github.com/lucee/lucee.git,64,,2026-05-25T23:25:08.114685+00:00
ben-manes/caffeine,1,java,17677,https://github.com/ben-manes/caffeine.git,64,,2026-05-25T23:25:16.974353+00:00
uber/nullaway,1,java,4055,https://github.com/uber/nullaway.git,68,,2026-05-25T23:25:19.192033+00:00
neamar/kiss,1,java,3427,https://github.com/neamar/kiss.git,270,,2026-05-25T23:25:49.574149+00:00
williamfiset/algorithms,1,java,18576,https://github.com/williamfiset/algorithms.git,52,,2026-05-25T23:26:00.076544+00:00
knowm/xchart,1,java,1584,https://github.com/knowm/xchart.git,58,,2026-05-25T23:26:00.945241+00:00
schemacrawler/schemacrawler,1,java,1773,https://github.com/schemacrawler/schemacrawler.git,3,,2026-05-25T23:26:18.485190+00:00
openems/openems,1,java,1389,https://github.com/openems/openems.git,101,,2026-05-25T23:26:43.070805+00:00
clickhouse/clickhouse-jdbc,1,java,1130,https://github.com/clickhouse/clickhouse-jdbc.git,91,,2026-05-25T23:27:10.105716+00:00
nitrite/nitrite-java,1,java,901,https://github.com/nitrite/nitrite-java.git,20,,2026-05-25T23:27:16.877129+00:00
codenameone/codenameone,1,java,1835,https://github.com/codenameone/codenameone.git,58,,2026-05-25T23:27:26.389081+00:00
slackapi/java-slack-sdk,1,java,601,https://github.com/slackapi/java-slack-sdk.git,95,,2026-05-25T23:27:45.880346+00:00
osudroid/osu-droid,1,java,683,https://github.com/osudroid/osu-droid.git,15,,2026-05-25T23:28:27.577991+00:00
halo-dev/halo,1,java,38746,https://github.com/halo-dev/halo.git,152,,2026-05-25T23:29:35.174774+00:00
zhangdaiscott/jeecg-boot,1,java,23378,https://github.com/zhangdaiscott/jeecg-boot.git,10,,2026-05-25T23:29:44.788322+00:00
afkt/devutils,1,java,1603,https://github.com/afkt/devutils.git,1,,2026-05-25T23:31:23.033656+00:00
rsksmart/rskj,1,java,692,https://github.com/rsksmart/rskj.git,69,,2026-05-25T23:31:24.247174+00:00
line/armeria,1,java,5107,https://github.com/line/armeria.git,271,,2026-05-25T23:31:24.487880+00:00
opennms/opennms,1,java,1156,https://github.com/opennms/opennms.git,144,,2026-05-25T23:31:30.075811+00:00
viaversion/viaversion,1,java,1562,https://github.com/viaversion/viaversion.git,110,,2026-05-25T23:31:33.846863+00:00
apicurio/apicurio-registry,1,java,806,https://github.com/apicurio/apicurio-registry.git,122,,2026-05-25T23:34:28.998201+00:00
wechat-group/wxjava,1,java,29877,https://github.com/wechat-group/wxjava.git,421,,2026-05-25T23:34:51.502021+00:00
