repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,matched_config_file,processed_at,created_at,topics,discovery_tier
4gray/iptvnator,1,typescript,6502,https://github.com/4gray/iptvnator.git,41,,CLAUDE.md,2026-07-25T03:13:09.681794+00:00,2019-10-06T03:37:40,"[""chromeos"", ""electron"", ""epg"", ""fair-source"", ""iptv"", ""iptv-m3u"", ""iptv-player"", ""iptv-player-application"", ""linux"", ""m3u"", ""m3u8"", ""macos"", ""player"", ""player-video"", ""playlist"", ""pwa"", ""snap"", ""tv"", ""video"", ""xtream-codes""]",1
colinhacks/zod,1,typescript,43201,https://github.com/colinhacks/zod.git,462,,.cursorrules,2026-07-25T03:13:10.019443+00:00,2020-03-07T08:59:08,"[""runtime-validation"", ""schema-validation"", ""static-types"", ""type-inference"", ""typescript""]",1
ant-design/ant-design-mobile-rn,1,typescript,3322,https://github.com/ant-design/ant-design-mobile-rn.git,65,,CLAUDE.md,2026-07-25T03:13:13.422733+00:00,2018-05-02T08:38:52,"[""android"", ""antd-mobile"", ""ios"", ""javascript"", ""react"", ""react-native"", ""typescript""]",1
iorate/ublacklist,1,typescript,6586,https://github.com/iorate/ublacklist.git,61,,CLAUDE.md,2026-07-25T03:13:27.031972+00:00,2018-06-25T03:41:25,"[""blocker"", ""chrome-extension"", ""firefox-extension"", ""google-search""]",1
getsentry/sentry-react-native,1,typescript,1808,https://github.com/getsentry/sentry-react-native.git,147,,.cursor/,2026-07-25T03:13:27.474500+00:00,2016-11-30T02:45:57,"[""android"", ""crash-reporting"", ""ios"", ""javascript"", ""react-native"", ""sdk"", ""sentry"", ""tag-production"", ""team-mobile"", ""typescript""]",1
microsoft/vscode-cmake-tools,1,typescript,1681,https://github.com/microsoft/vscode-cmake-tools.git,219,,copilot-instructions.md,2026-07-25T03:13:37.292312+00:00,2016-04-16T09:00:29,"[""c"", ""cmake"", ""cpp"", ""ctest"", ""debugging"", ""intellisense"", ""microsoft"", ""tasks"", ""visual-studio-code""]",1
nrwl/nx-console,1,typescript,1409,https://github.com/nrwl/nx-console.git,82,,.cursor/,2026-07-25T03:13:37.342933+00:00,2018-06-18T10:02:01,[],1
streetsidesoftware/vscode-spell-checker,1,typescript,1667,https://github.com/streetsidesoftware/vscode-spell-checker.git,62,,copilot-instructions.md,2026-07-25T03:13:40.087327+00:00,2016-05-16T10:42:22,[],1
sindresorhus/refined-github,1,typescript,15405,https://github.com/sindresorhus/refined-github.git,245,,copilot-instructions.md,2026-07-25T03:13:58.353860+00:00,2016-02-15T04:45:02,[],1
walletconnect/walletconnect-monorepo,1,typescript,1674,https://github.com/walletconnect/walletconnect-monorepo.git,149,,CLAUDE.md,2026-07-25T03:13:58.779066+00:00,2018-08-26T02:02:36,"[""devtools"", ""ethereum"", ""library"", ""mobile"", ""prod"", ""react-native"", ""team-walletkit"", ""typescript"", ""wallet"", ""walletconnect"", ""web3""]",1
microsoft/fluentui-react-native,1,typescript,1438,https://github.com/microsoft/fluentui-react-native.git,66,,copilot-instructions.md,2026-07-25T03:13:59.344924+00:00,2019-07-10T08:27:19,[],1
paraswap/paraswap-sdk,1,typescript,735,https://github.com/paraswap/paraswap-sdk.git,22,,CLAUDE.md,2026-07-25T03:13:59.346245+00:00,2019-10-08T01:28:44,"[""blockchain"", ""cryptocurrency"", ""ethereum"", ""exchange"", ""paraswap"", ""solidity"", ""web3""]",1
javascript-obfuscator/javascript-obfuscator,1,typescript,16099,https://github.com/javascript-obfuscator/javascript-obfuscator.git,43,,CLAUDE.md,2026-07-25T03:13:59.348632+00:00,2016-05-09T08:16:53,"[""browser"", ""control-flow"", ""cryptography"", ""encoding"", ""flattening"", ""flow"", ""javascript"", ""javascript-obfuscator"", ""js-obfuscator"", ""literal"", ""mangle"", ""nodejs"", ""obfuscate"", ""obfuscation"", ""obfuscator"", ""protection"", ""security"", ""string"", ""typescript"", ""uglify""]",1
moodlehq/moodleapp,1,typescript,981,https://github.com/moodlehq/moodleapp.git,26,,copilot-instructions.md,2026-07-25T03:13:59.378567+00:00,2015-03-03T09:18:17,"[""ionic"", ""moodleapp""]",1
alibaba/hooks,1,typescript,14957,https://github.com/alibaba/hooks.git,263,,.cursor/,2026-07-25T03:13:59.601676+00:00,2019-06-27T05:20:06,"[""ahooks"", ""hooks-library"", ""react"", ""react-hooks"", ""umi-hooks""]",1
yang991178/fluent-reader,1,typescript,9377,https://github.com/yang991178/fluent-reader.git,26,,copilot-instructions.md,2026-07-25T03:14:17.792525+00:00,2020-05-31T08:15:55,"[""electron"", ""linux"", ""macos"", ""react"", ""rss"", ""rss-reader"", ""typescript"", ""windows""]",1
imolorhe/altair,1,typescript,3450,https://github.com/imolorhe/altair.git,50,,.github/instructions/,2026-07-25T03:14:20.592281+00:00,2017-03-25T09:08:30,[],1
aurelia/aurelia,1,typescript,1534,https://github.com/aurelia/aurelia.git,74,,CLAUDE.md,2026-07-25T03:14:21.680709+00:00,2018-02-15T05:22:58,"[""aurelia"", ""cordova"", ""cross-platform"", ""electron"", ""framework"", ""frontend"", ""html"", ""javascript"", ""javascript-framework"", ""mobile"", ""pwa"", ""single-page-applications"", ""spa"", ""typescript"", ""web"", ""web-framework"", ""web-performance""]",1
acacode/swagger-typescript-api,1,typescript,4096,https://github.com/acacode/swagger-typescript-api.git,58,,CLAUDE.md,2026-07-25T03:14:30.010338+00:00,2020-01-12T11:46:19,[],1
zenn-dev/zenn-editor,1,typescript,741,https://github.com/zenn-dev/zenn-editor.git,38,,.claude/,2026-07-25T03:14:30.294866+00:00,2020-05-27T07:09:14,[],1
whitphx/vscode-emacs-mcx,1,typescript,532,https://github.com/whitphx/vscode-emacs-mcx.git,28,,CLAUDE.md,2026-07-25T03:14:30.296120+00:00,2019-01-06T03:30:42,"[""emacs"", ""hacktoberfest"", ""vscode"", ""vscode-extension""]",1
ng-alain/delon,1,typescript,681,https://github.com/ng-alain/delon.git,65,,CLAUDE.md,2026-07-25T03:14:33.191012+00:00,2017-11-25T10:37:28,"[""angular"", ""angular-components"", ""angular-scaffolding"", ""g2"", ""ng-admin"", ""ng-alain"", ""ng-zorro"", ""scaffold"", ""scaffold-framework"", ""scaffold-template"", ""scaffolding""]",1
faridsafi/react-native-gifted-chat,1,typescript,14424,https://github.com/faridsafi/react-native-gifted-chat.git,201,,copilot-instructions.md,2026-07-25T03:14:38.207477+00:00,2015-11-14T03:45:34,"[""chat"", ""component"", ""react-native""]",1
quicktype/quicktype,1,typescript,10496,https://github.com/quicktype/quicktype.git,140,,CLAUDE.md,2026-07-25T03:14:40.920888+00:00,2017-07-13T12:22:50,"[""cplusplus"", ""csharp"", ""elm"", ""golang"", ""graphql"", ""java"", ""json"", ""json-schema"", ""kotlin"", ""objective-c"", ""rust"", ""swift"", ""typescript""]",1
antvis/g6,1,typescript,12150,https://github.com/antvis/g6.git,180,,.cursor/,2026-07-25T03:14:44.324294+00:00,2017-02-13T10:00:43,"[""data-visualization"", ""graph"", ""graph-analytics"", ""graph-drawing"", ""graph-visualization"", ""hacktoberfest"", ""network"", ""tree"", ""visual-analytics"", ""visualization""]",1
rolling-scopes/rsschool-app,1,typescript,10377,https://github.com/rolling-scopes/rsschool-app.git,79,,copilot-instructions.md,2026-07-25T03:14:49.493703+00:00,2018-05-22T01:18:23,"[""hacktoberfest""]",1
oznu/homebridge-config-ui-x,1,typescript,2353,https://github.com/oznu/homebridge-config-ui-x.git,88,,copilot-instructions.md,2026-07-25T03:14:57.143948+00:00,2017-12-21T04:20:54,[],1
callstack/react-native-paper,1,typescript,14411,https://github.com/callstack/react-native-paper.git,335,,copilot-instructions.md,2026-07-25T03:14:57.158264+00:00,2016-10-19T05:56:53,"[""hacktoberfest"", ""material-design"", ""react-native"", ""ui-kit""]",1
mikro-orm/mikro-orm,1,typescript,9111,https://github.com/mikro-orm/mikro-orm.git,311,,copilot-instructions.md,2026-07-25T03:14:57.189049+00:00,2018-03-15T09:21:10,"[""database"", ""datamapper"", ""entities"", ""entity"", ""identity-map"", ""javascript"", ""libsql"", ""mongodb"", ""mysql"", ""nodejs"", ""orm"", ""postgre"", ""postgresql"", ""sql"", ""sql-server"", ""sqlite"", ""sqlite3"", ""typescript"", ""typescript-orm"", ""unit-of-work""]",1
payloadcms/payload,1,typescript,43447,https://github.com/payloadcms/payload.git,436,,.cursor/,2026-07-25T03:14:57.275343+00:00,2021-01-05T06:49:45,"[""cms"", ""content-management"", ""content-management-system"", ""express"", ""graphql"", ""headless"", ""headless-cms"", ""jamstack"", ""javascript"", ""mit-license"", ""mongodb"", ""nextjs"", ""nodejs"", ""open-source"", ""payload"", ""payloadcms"", ""postgres"", ""react"", ""typescript""]",1
petyosi/react-virtuoso,1,typescript,6360,https://github.com/petyosi/react-virtuoso.git,76,,CLAUDE.md,2026-07-25T03:15:00.319234+00:00,2019-05-03T05:39:04,"[""chat"", ""component-library"", ""feed"", ""hacktoberfest"", ""react"", ""virtual"", ""virtualizedlist""]",1
ethereumjs/ethereumjs-monorepo,1,typescript,2754,https://github.com/ethereumjs/ethereumjs-monorepo.git,210,,.cursorignore,2026-07-25T03:15:11.824390+00:00,2015-07-10T02:54:03,"[""bytecode"", ""client"", ""ethereum"", ""ethereumjs"", ""evm"", ""javascript"", ""monorepo"", ""mpt"", ""typescript"", ""virtual-machine"", ""vm""]",1
eclipsesource/jsonforms,1,typescript,2707,https://github.com/eclipsesource/jsonforms.git,96,,CLAUDE.md,2026-07-25T03:15:14.645557+00:00,2015-02-13T10:24:06,"[""angular"", ""customizable"", ""forms"", ""js"", ""json"", ""json-schema"", ""material"", ""react"", ""redux"", ""typescript"", ""vue"", ""vue3""]",1
betterthantomorrow/calva,1,typescript,2073,https://github.com/betterthantomorrow/calva.git,157,,copilot-instructions.md,2026-07-25T03:15:20.156804+00:00,2018-03-15T10:04:33,[],1
owid/owid-grapher,1,typescript,1549,https://github.com/owid/owid-grapher.git,52,,copilot-instructions.md,2026-07-25T03:15:20.191667+00:00,2015-05-04T11:06:48,"[""data-visualization"", ""react"", ""typescript""]",1
po-ui/po-angular,1,typescript,1008,https://github.com/po-ui/po-angular.git,75,,copilot-instructions.md,2026-07-25T03:15:24.709935+00:00,2019-06-25T04:50:39,"[""angular"", ""angular-components"", ""enterprise"", ""frontend"", ""hacktoberfest"", ""po"", ""po-ui"", ""ui-components""]",1
nomiclabs/hardhat,1,typescript,2151,https://github.com/nomiclabs/hardhat.git,132,,copilot-instructions.md,2026-07-25T03:15:24.714575+00:00,2018-04-14T10:20:59,[],1
microsoft/vscode-mssql,1,typescript,1888,https://github.com/microsoft/vscode-mssql.git,94,,copilot-instructions.md,2026-07-25T03:15:25.858838+00:00,2016-06-26T04:38:04,[],1
destinyitemmanager/dim,1,typescript,2144,https://github.com/destinyitemmanager/dim.git,195,,copilot-instructions.md,2026-07-25T03:15:28.213625+00:00,2015-03-04T09:46:50,"[""bungie"", ""destiny"", ""react"", ""typescript""]",1
fullstack-build/tslog,1,typescript,1628,https://github.com/fullstack-build/tslog.git,28,,CLAUDE.md,2026-07-25T03:15:32.962245+00:00,2020-04-23T09:08:24,"[""error-handling"", ""exceptions"", ""json"", ""json-api"", ""logger"", ""logging"", ""logging-library"", ""pretty-print"", ""stack"", ""stacktrace"", ""typescript-library""]",1
meilisearch/meilisearch-js,1,typescript,866,https://github.com/meilisearch/meilisearch-js.git,83,,.cursor/,2026-07-25T03:15:36.976304+00:00,2019-10-02T03:37:57,"[""javascript"", ""meilisearch"", ""nodejs"", ""sdk"", ""typescript""]",1
koenkk/zigbee-herdsman,1,typescript,561,https://github.com/koenkk/zigbee-herdsman.git,187,,copilot-instructions.md,2026-07-25T03:15:43.391689+00:00,2019-06-15T07:42:31,"[""hacktoberfest""]",1
open-wa/wa-automate-nodejs,1,typescript,3627,https://github.com/open-wa/wa-automate-nodejs.git,29,,copilot-instructions.md,2026-07-25T03:15:49.640933+00:00,2019-08-15T12:25:26,"[""api"", ""chatbots"", ""framework"", ""nodejs"", ""typescript""]",1
electron-userland/electron-builder,1,typescript,14607,https://github.com/electron-userland/electron-builder.git,441,,CLAUDE.md,2026-07-25T03:15:55.321575+00:00,2015-05-21T07:45:02,"[""appx"", ""auto-update"", ""builder"", ""contributions-welcome"", ""deb"", ""distribution-electron"", ""dmg"", ""electron"", ""electron-builder"", ""electron-updater"", ""help-wanted"", ""linux"", ""macos"", ""msi"", ""muon"", ""nsis"", ""pkg"", ""rpm"", ""snap"", ""squirrel""]",1
ng-select/ng-select,1,typescript,3378,https://github.com/ng-select/ng-select.git,135,,copilot-instructions.md,2026-07-25T03:16:02.796244+00:00,2017-07-02T04:43:27,"[""angular"", ""angular-components"", ""angular2"", ""angular4"", ""angular5"", ""angular6"", ""angular7"", ""angular8"", ""autocomplete"", ""dropdown"", ""hacktoberfest"", ""multiselect"", ""select"", ""typeahead"", ""ui-select""]",1
stoplightio/prism,1,typescript,4982,https://github.com/stoplightio/prism.git,86,,CLAUDE.md,2026-07-25T03:16:04.892906+00:00,2016-03-18T03:52:09,"[""api-testing"", ""cli"", ""hacktoberfest"", ""http-proxy"", ""mock-server"", ""mocking"", ""oas"", ""openapi"", ""openapi3"", ""postman-collection"", ""prism"", ""stoplight-oss"", ""stoplight-prism"", ""swagger"", ""swagger-oss""]",1
maximeheckel/blog.maximeheckel.com,1,typescript,726,https://github.com/maximeheckel/blog.maximeheckel.com.git,7,,.cursor/,2026-07-25T03:16:04.903955+00:00,2019-08-10T05:04:46,[],1
eamodio/vscode-gitlens,1,typescript,6247,https://github.com/eamodio/vscode-gitlens.git,64,,CLAUDE.md,2026-07-25T03:16:07.864757+00:00,2016-08-08T02:50:30,[],1
matteobruni/tsparticles,1,typescript,5724,https://github.com/matteobruni/tsparticles.git,78,,.cursor/,2026-07-25T03:16:07.996347+00:00,2020-02-05T06:00:01,"[""2d"", ""angular"", ""animations"", ""bg"", ""canvas"", ""confetti"", ""fireworks"", ""hacktoberfest"", ""html"", ""javascript"", ""js"", ""npm"", ""particles"", ""react"", ""svelte"", ""ts"", ""tsparticles"", ""typescript"", ""vue"", ""web""]",1
wowanalyzer/wowanalyzer,1,typescript,590,https://github.com/wowanalyzer/wowanalyzer.git,284,,copilot-instructions.md,2026-07-25T03:16:08.507298+00:00,2017-01-30T11:02:17,"[""analyzer"", ""hacktoberfest"", ""javascript"", ""log"", ""react"", ""typescript"", ""warcraft"", ""warcraftlogs"", ""world-of-warcraft"", ""wow"", ""wowanalyzer""]",1
angular-eslint/angular-eslint,1,typescript,1781,https://github.com/angular-eslint/angular-eslint.git,125,,CLAUDE.md,2026-07-25T03:16:12.211781+00:00,2019-07-28T10:51:06,"[""angular"", ""eslint"", ""typescript""]",1
projen/projen,1,typescript,2937,https://github.com/projen/projen.git,241,,CLAUDE.md,2026-07-25T03:16:22.979566+00:00,2020-05-11T05:07:24,"[""aws-cdk"", ""cdk"", ""constructs"", ""generator"", ""hacktoberfest"", ""jsii"", ""repository-management"", ""repository-tools"", ""scaffolding"", ""templates"", ""typescript""]",1
just-jeb/angular-builders,1,typescript,1163,https://github.com/just-jeb/angular-builders.git,55,,CLAUDE.md,2026-07-25T03:16:22.989158+00:00,2018-07-03T02:15:02,"[""angular"", ""angular-cli"", ""angular15"", ""angular16"", ""angular17"", ""angular18"", ""build"", ""builder"", ""builders"", ""custom"", ""customization"", ""customized-builds"", ""dev-server"", ""extend"", ""ivy"", ""jest"", ""jest-test"", ""unit-test"", ""webpack"", ""webpack-dev-server""]",1
naver/egjs-flicking,1,typescript,2922,https://github.com/naver/egjs-flicking.git,27,,CLAUDE.md,2026-07-25T03:16:24.156457+00:00,2017-04-28T02:32:33,"[""angular"", ""carousel"", ""desktop"", ""egjs"", ""iscroll"", ""javascript"", ""mobile"", ""react"", ""reactjs"", ""slider"", ""tablet"", ""typescript"", ""vue""]",1
swimlane/ngx-ui,1,typescript,733,https://github.com/swimlane/ngx-ui.git,51,,.cursor/,2026-07-25T03:16:26.921820+00:00,2016-08-17T12:16:19,"[""angular"", ""component"", ""css"", ""dialog"", ""directive"", ""drawer"", ""hacktoberfest"", ""icons"", ""library"", ""select"", ""split"", ""styles"", ""tabs"", ""tree""]",1
espressif/vscode-esp-idf-extension,1,typescript,1449,https://github.com/espressif/vscode-esp-idf-extension.git,52,,.cursor/,2026-07-25T03:16:26.928724+00:00,2018-11-21T03:27:08,[],1
omnisharp/omnisharp-vscode,1,typescript,2566,https://github.com/omnisharp/omnisharp-vscode.git,150,,copilot-instructions.md,2026-07-25T03:16:35.035291+00:00,2015-12-03T03:45:21,"[""c-sharp"", ""csharp"", ""omnisharp"", ""vscode""]",1
benkeen/generatedata,1,typescript,2278,https://github.com/benkeen/generatedata.git,42,,copilot-instructions.md,2026-07-25T03:16:40.918568+00:00,2012-01-26T09:06:00,"[""data"", ""data-generation"", ""data-generator"", ""data-generators"", ""human-data"", ""json"", ""random"", ""random-generation"", ""randomization"", ""rest-api"", ""test-data"", ""test-data-generator"", ""testing""]",1
kufu/smarthr-ui,1,typescript,966,https://github.com/kufu/smarthr-ui.git,108,,CLAUDE.md,2026-07-25T03:16:46.932874+00:00,2018-05-10T07:32:43,"[""hacktoberfest""]",1
jamaljsr/polar,1,typescript,857,https://github.com/jamaljsr/polar.git,42,,copilot-instructions.md,2026-07-25T03:16:50.619554+00:00,2019-08-09T05:40:08,"[""bitcoin"", ""bitcoind"", ""c-lightning"", ""docker"", ""electron"", ""lightning"", ""lightning-network"", ""lnd"", ""polar"", ""react""]",1
garden-io/garden,1,typescript,3590,https://github.com/garden-io/garden.git,102,,CLAUDE.md,2026-07-25T03:16:57.316869+00:00,2017-12-03T02:10:59,"[""containers"", ""developer-tools"", ""kubernetes"", ""testing"", ""testing-tools""]",1
expo/eas-cli,1,typescript,1313,https://github.com/expo/eas-cli.git,93,,CLAUDE.md,2026-07-25T03:16:57.349811+00:00,2020-08-12T05:05:04,"[""android"", ""apps"", ""automation"", ""ci"", ""cicd"", ""cli"", ""cloud"", ""deployment"", ""expo"", ""hosting"", ""ios"", ""mobile"", ""react-native""]",1
apollographql/apollo-client,1,typescript,19790,https://github.com/apollographql/apollo-client.git,399,,.github/instructions/,2026-07-25T03:17:12.227902+00:00,2016-02-26T08:25:00,"[""apollo-client"", ""apollographql"", ""graphql"", ""graphql-client"", ""typescript""]",1
facebook/jest,1,typescript,39578,https://github.com/facebook/jest.git,438,,copilot-instructions.md,2026-07-25T03:17:13.298554+00:00,2013-12-10T12:18:04,[],1
elastic/eui,1,typescript,6339,https://github.com/elastic/eui.git,284,,CLAUDE.md,2026-07-25T03:17:13.301129+00:00,2017-10-18T02:49:20,"[""css-in-js"", ""design-system"", ""elasticsearch"", ""eui"", ""kibana"", ""react""]",1
erxes/erxes,1,typescript,4021,https://github.com/erxes/erxes.git,197,,.cursorrules,2026-07-25T03:17:13.488752+00:00,2016-11-11T06:54:50,"[""customer-experience"", ""employee-experience"", ""experience-operating-system"", ""front-alternative"", ""hacktoberfest"", ""hacktoberfest2025"", ""hubspot-alternative"", ""intercom-alternative"", ""linear-alternative"", ""medallia-alternative"", ""qualtrics-alternative"", ""wix-alternative"", ""zendesk-alternative""]",1
snyk/snyk,1,typescript,3675,https://github.com/snyk/snyk.git,154,,CLAUDE.md,2026-07-25T03:17:13.590135+00:00,2015-10-30T11:36:00,[],1
formatjs/formatjs,1,typescript,14730,https://github.com/formatjs/formatjs.git,324,,CLAUDE.md,2026-07-25T03:17:16.925474+00:00,2014-04-24T05:28:36,"[""formatjs"", ""globalization"", ""i18n"", ""internationalization"", ""intl"", ""javascript"", ""localization"", ""react"", ""translation"", ""ui"", ""web""]",1
desktop/desktop,1,typescript,21665,https://github.com/desktop/desktop.git,362,,copilot-instructions.md,2026-07-25T03:17:19.849020+00:00,2016-05-11T03:59:00,"[""electron"", ""git"", ""github"", ""github-desktop"", ""typescript""]",1
polymer/lit-html,1,typescript,7127,https://github.com/polymer/lit-html.git,101,,copilot-instructions.md,2026-07-25T03:17:24.969354+00:00,2017-06-29T04:27:16,[],1
ng-zorro/ng-zorro-antd,1,typescript,9161,https://github.com/ng-zorro/ng-zorro-antd.git,293,,copilot-instructions.md,2026-07-25T03:17:24.976787+00:00,2017-08-08T02:59:33,"[""angular"", ""angular-components"", ""angular-directives"", ""angular-ui-components"", ""ant"", ""ant-design"", ""antd"", ""enterprise"", ""frontend"", ""ivy"", ""ng-zorro"", ""ngx"", ""typescript"", ""ui-components""]",1
botpress/botpress,1,typescript,14772,https://github.com/botpress/botpress.git,74,,CLAUDE.md,2026-07-25T03:17:25.027320+00:00,2016-11-16T09:57:59,"[""agent"", ""ai"", ""botpress"", ""chatbot"", ""chatgpt"", ""gpt"", ""gpt-4"", ""langchain"", ""llm"", ""nlp"", ""openai"", ""prompt""]",1
naver/billboard.js,1,typescript,5994,https://github.com/naver/billboard.js.git,147,,copilot-instructions.md,2026-07-25T03:17:32.897824+00:00,2017-06-08T02:54:44,"[""canvas"", ""charting-library"", ""d3"", ""data-visualizations"", ""graph"", ""svg""]",1
prisma/prisma,1,typescript,46359,https://github.com/prisma/prisma.git,344,,CLAUDE.md,2026-07-25T03:17:33.916587+00:00,2019-06-20T01:33:47,"[""cockroachdb"", ""database"", ""javascript"", ""mariadb"", ""mongo"", ""mongodb"", ""mongodb-orm"", ""mssql"", ""mysql"", ""nodejs"", ""orm"", ""postgres"", ""postgresql"", ""prisma"", ""prisma-client"", ""query-builder"", ""sql-server"", ""sqlite"", ""sqlserver"", ""typescript""]",1
browserless/chrome,1,typescript,6401,https://github.com/browserless/chrome.git,54,,CLAUDE.md,2026-07-25T03:17:41.205825+00:00,2017-11-17T04:35:31,"[""browserless"", ""chrome"", ""devtools"", ""docker"", ""headless"", ""headless-chrome"", ""puppeteer""]",1
slackapi/node-slack-sdk,1,typescript,3378,https://github.com/slackapi/node-slack-sdk.git,178,,CLAUDE.md,2026-07-25T03:17:44.803835+00:00,2014-03-25T09:56:50,"[""slack"", ""slackapi"", ""socket-mode"", ""typescript"", ""websocket"", ""websocket-client"", ""websockets""]",1
marmelab/react-admin,1,typescript,26823,https://github.com/marmelab/react-admin.git,352,,CLAUDE.md,2026-07-25T03:17:50.875678+00:00,2016-07-13T07:58:54,"[""admin"", ""admin-dashboard"", ""admin-on-rest"", ""admin-ui"", ""frontend-framework"", ""graphql"", ""material-ui"", ""react"", ""react-admin"", ""reactjs"", ""rest"", ""single-page-app""]",1
surveyjs/survey-library,1,typescript,4796,https://github.com/surveyjs/survey-library.git,144,,copilot-instructions.md,2026-07-25T03:17:52.619550+00:00,2015-08-14T08:53:22,"[""angular"", ""dynamic-form-builder"", ""form"", ""form-builder"", ""form-library"", ""forms"", ""javascript"", ""jquery"", ""json"", ""questionnaire"", ""quiz"", ""react"", ""reactjs"", ""survey"", ""surveyjs"", ""surveys"", ""typescript"", ""vue"", ""vue3"", ""web-forms""]",1
tagspaces/tagspaces,1,typescript,5202,https://github.com/tagspaces/tagspaces.git,22,,CLAUDE.md,2026-07-25T03:18:12.935682+00:00,2012-11-23T05:25:20,"[""electron"", ""javascript"", ""note-taking"", ""offline-first"", ""open-source"", ""self-hosting"", ""tagspaces""]",1
algolia/instantsearch.js,1,typescript,2935,https://github.com/algolia/instantsearch.js.git,89,,CLAUDE.md,2026-07-25T03:18:12.990767+00:00,2015-07-21T12:10:27,[],1
slackapi/bolt-js,1,typescript,2919,https://github.com/slackapi/bolt-js.git,151,,CLAUDE.md,2026-07-25T03:18:13.177180+00:00,2016-07-19T02:46:33,"[""framework"", ""javascript"", ""slack"", ""slack-apps"", ""socket-mode"", ""typescript"", ""websocket"", ""websocket-client"", ""websockets""]",1
framer/motion,1,typescript,23857,https://github.com/framer/motion.git,94,,.cursorrules,2026-07-25T03:18:13.683006+00:00,2018-11-16T09:48:38,[],1
sanity-io/sanity,1,typescript,6207,https://github.com/sanity-io/sanity.git,174,,.cursor/,2026-07-25T03:18:17.510624+00:00,2017-01-18T07:19:02,"[""cms"", ""headless"", ""react"", ""reactjs"", ""real-time"", ""realtime""]",1
getsentry/sentry-javascript,1,typescript,8699,https://github.com/getsentry/sentry-javascript.git,406,,.cursor/,2026-07-25T03:18:17.819340+00:00,2012-02-01T08:16:25,"[""angular"", ""crash-reporting"", ""ember"", ""error-monitoring"", ""hacktoberfest"", ""javascript"", ""javascript-client"", ""nextjs"", ""node"", ""raven"", ""react"", ""sdk"", ""sentry"", ""sentry-client"", ""tag-production"", ""team-sdk-javascript"", ""team-web-frontend"", ""typescript"", ""vue""]",1
microsoft/rushstack,1,typescript,6480,https://github.com/microsoft/rushstack.git,302,,copilot-instructions.md,2026-07-25T03:18:17.822646+00:00,2016-09-30T12:28:20,"[""api"", ""api-extractor"", ""build"", ""bulk-suppressions"", ""eslint"", ""hacktoberfest"", ""heft"", ""lockfile-explorer"", ""monorepo"", ""nodejs"", ""orchestrator"", ""rush"", ""rushstack"", ""toolchain"", ""tsdoc"", ""typescript""]",1
vercel/vercel,1,typescript,15837,https://github.com/vercel/vercel.git,413,,CLAUDE.md,2026-07-25T03:18:18.007297+00:00,2016-09-09T01:12:08,"[""cli"", ""cloud"", ""command"", ""hosting"", ""jamstack"", ""ship"", ""vercel""]",1
microsoft/azure-pipelines-tasks,1,typescript,3642,https://github.com/microsoft/azure-pipelines-tasks.git,308,,copilot-instructions.md,2026-07-25T03:18:18.034866+00:00,2014-12-06T11:11:46,[],1
microsoft/vscode-pull-request-github,1,typescript,2599,https://github.com/microsoft/vscode-pull-request-github.git,150,,copilot-instructions.md,2026-07-25T03:18:24.797648+00:00,2018-05-24T11:05:02,"[""code-review"", ""github"", ""pull-requests"", ""vscode""]",1
wireapp/wire-desktop,1,typescript,1125,https://github.com/wireapp/wire-desktop.git,58,,copilot-instructions.md,2026-07-25T03:18:28.365692+00:00,2016-07-26T01:55:48,"[""desktop"", ""electron"", ""hacktoberfest"", ""wire""]",1
azuread/microsoft-authentication-library-for-js,1,typescript,4095,https://github.com/azuread/microsoft-authentication-library-for-js.git,214,,copilot-instructions.md,2026-07-25T03:18:28.546107+00:00,2017-02-24T09:49:17,[],1
parabolinc/parabol,1,typescript,2004,https://github.com/parabolinc/parabol.git,78,,CLAUDE.md,2026-07-25T03:18:48.298529+00:00,2015-12-21T05:16:49,"[""agile"", ""graphql"", ""kanban"", ""nodejs"", ""react"", ""realtime"", ""redis"", ""retrospective"", ""saas"", ""stripe""]",1
kinvolk/headlamp,1,typescript,824,https://github.com/kinvolk/headlamp.git,17,,copilot-instructions.md,2026-07-25T03:18:51.665638+00:00,2019-11-08T09:00:03,[],1
vivliostyle/vivliostyle.js,1,typescript,764,https://github.com/vivliostyle/vivliostyle.js.git,34,,copilot-instructions.md,2026-07-25T03:18:58.951029+00:00,2015-03-30T02:32:08,"[""css"", ""epub"", ""typesetting"", ""vivliostyle""]",1
artsy/eigen,1,typescript,3770,https://github.com/artsy/eigen.git,133,,CLAUDE.md,2026-07-25T03:18:58.951143+00:00,2015-01-22T09:52:39,"[""android"", ""app"", ""app-store"", ""art"", ""ios"", ""objective-c"", ""react-native"", ""swift""]",1
chainsafe/lodestar,1,typescript,1412,https://github.com/chainsafe/lodestar.git,139,,CLAUDE.md,2026-07-25T03:19:13.225182+00:00,2018-06-22T02:41:47,"[""beacon-chain"", ""blockchain"", ""eth2"", ""ethereum"", ""proof-of-stake"", ""serenity"", ""typescript""]",1
nexus-mods/vortex,1,typescript,1415,https://github.com/nexus-mods/vortex.git,38,,CLAUDE.md,2026-07-25T03:19:13.626319+00:00,2016-09-05T03:53:53,[],1
