repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,matched_config_file,processed_at,created_at,topics,discovery_tier
lizhiyao/sentry-miniapp,1,typescript,668,https://github.com/lizhiyao/sentry-miniapp.git,5,,CLAUDE.md,2026-07-25T03:09:20.627385+00:00,2019-08-07T02:16:04,"[""alipay-miniprogram"", ""apm"", ""breadcrumbs"", ""bytedance-miniprogram"", ""crash-reporting"", ""distributed-tracing"", ""error-monitoring"", ""error-tracking"", ""mini-program"", ""monitoring"", ""performance-monitoring"", ""qq-miniprogram"", ""sentry"", ""session-tracking"", ""sourcemap"", ""taro"", ""uniapp"", ""weapp"", ""wechat"", ""wechat-miniprogram""]",1
reaviz/reaviz,1,typescript,1236,https://github.com/reaviz/reaviz.git,28,,CLAUDE.md,2026-07-25T03:09:21.807860+00:00,2020-04-17T09:17:18,"[""area-charts"", ""bar-charts"", ""bubble-chart"", ""charting-library"", ""charts"", ""d3"", ""d3js"", ""data-visualization"", ""data-viz"", ""funnel-chart"", ""heatmap"", ""line-charts"", ""react"", ""reactjs"", ""sankey-chart"", ""scatter-plot"", ""sparkline"", ""sunburst-chart"", ""treemap"", ""venn-diagram""]",1
zeusln/zeus,1,typescript,1390,https://github.com/zeusln/zeus.git,62,,.claude/,2026-07-25T03:09:26.591508+00:00,2019-02-16T08:58:09,"[""android"", ""bitcoin"", ""cashu"", ""core-lightning"", ""cryptocurrency"", ""ecash"", ""ios"", ""ldk"", ""lightning"", ""lightning-network"", ""lnd"", ""lndhub"", ""micropayments"", ""nostr"", ""payments"", ""react-native"", ""self-custody"", ""typescript""]",1
surgioproject/surgio,1,typescript,1810,https://github.com/surgioproject/surgio.git,37,,CLAUDE.md,2026-07-25T03:09:30.264810+00:00,2019-08-20T04:10:41,"[""clash"", ""hysteria"", ""loon"", ""quantumult"", ""shadowsocks"", ""sing-box"", ""snell"", ""stash"", ""surge"", ""trojan"", ""v2ray"", ""vless"", ""vmess""]",1
martpie/museeks,1,typescript,2123,https://github.com/martpie/museeks.git,22,,CLAUDE.md,2026-07-25T03:09:30.601490+00:00,2015-03-03T01:01:31,"[""cross-platform"", ""electron"", ""museeks"", ""music"", ""music-player"", ""react""]",1
honkit/honkit,1,typescript,3471,https://github.com/honkit/honkit.git,133,,.copilot-*.md,2026-07-25T03:09:32.698526+00:00,2020-06-13T12:16:48,"[""asciidoc"", ""book"", ""ebook"", ""gitbook"", ""honkit"", ""javascript"", ""markdown"", ""plugin""]",1
sindresorhus/type-fest,1,typescript,17286,https://github.com/sindresorhus/type-fest.git,207,,CLAUDE.md,2026-07-25T03:09:34.337299+00:00,2019-03-13T10:30:19,"[""npm-package"", ""types"", ""typescript"", ""typescript-definitions"", ""utilities""]",1
didi/logicflow,1,typescript,11480,https://github.com/didi/logicflow.git,82,,.cursor/,2026-07-25T03:09:35.644665+00:00,2020-12-24T07:55:38,"[""bpmn"", ""diagram"", ""diagramming"", ""didi"", ""flow"", ""flowchart"", ""graph"", ""javascript"", ""javascript-diagramming-library"", ""mvvm"", ""svg"", ""typescript"", ""visualization""]",1
crowi/crowi,1,typescript,1099,https://github.com/crowi/crowi.git,37,,CLAUDE.md,2026-07-25T03:09:41.279700+00:00,2014-08-18T05:32:58,"[""crowi"", ""knowledge"", ""markdown-wiki"", ""typescript"", ""wiki""]",1
jcmais/node-libcurl,1,typescript,715,https://github.com/jcmais/node-libcurl.git,28,,CLAUDE.md,2026-07-25T03:09:50.694160+00:00,2014-04-16T11:32:43,"[""c-plus-plus"", ""curl"", ""ftp"", ""hacktoberfest"", ""http-client"", ""http2"", ""http3"", ""javascript"", ""libcurl"", ""libcurl-binding"", ""node-addon"", ""node-gyp"", ""node-module"", ""nodejs"", ""prebuilt-binaries"", ""quic""]",1
persian-tools/persian-tools,1,typescript,1188,https://github.com/persian-tools/persian-tools.git,41,,.github/instructions/,2026-07-25T03:09:53.001663+00:00,2018-06-18T10:00:57,"[""card-number"", ""code-melli"", ""code-melli-validator"", ""convert-numbers"", ""convert-persian-number"", ""english-number-to-persian"", ""fuzzy-matching"", ""iban"", ""iranian-national-id"", ""number-to-words"", ""persian-characters"", ""persian-language"", ""persian-words-to-number"", ""remove-commas"", ""sheba"", ""sheba-validator"", ""verify-bank-nunber"", ""verify-national-id"", ""words-to-numbers""]",1
ngx-translate/core,1,typescript,4665,https://github.com/ngx-translate/core.git,98,,copilot-instructions.md,2026-07-25T03:09:57.777134+00:00,2015-10-11T08:44:15,"[""angular"", ""i18n"", ""ngx"", ""ngx-translate"", ""npm-package"", ""translation""]",1
remeda/remeda,1,typescript,5388,https://github.com/remeda/remeda.git,102,,CLAUDE.md,2026-07-25T03:10:10.019526+00:00,2018-05-07T08:56:53,"[""functional"", ""programming"", ""typescript"", ""utility""]",1
elixir-lsp/vscode-elixir-ls,1,typescript,597,https://github.com/elixir-lsp/vscode-elixir-ls.git,57,,CLAUDE.md,2026-07-25T03:10:13.688446+00:00,2019-01-16T10:10:46,"[""elixir"", ""language-server""]",1
openplayerjs/openplayerjs,1,typescript,646,https://github.com/openplayerjs/openplayerjs.git,12,,CLAUDE.md,2026-07-25T03:10:13.696836+00:00,2018-09-03T05:41:25,"[""ads"", ""audio"", ""hls"", ""html5"", ""html5-audio"", ""html5-video"", ""html5-video-player"", ""javascript"", ""non-linear"", ""omid"", ""openplayerjs"", ""player"", ""simid"", ""typescript"", ""typescript-library"", ""vast"", ""video"", ""vmap""]",1
handsontable/hyperformula,1,typescript,2727,https://github.com/handsontable/hyperformula.git,26,,CLAUDE.md,2026-07-25T03:10:14.198869+00:00,2019-09-10T08:02:18,"[""calculation-engine"", ""evaluator"", ""excel"", ""forms"", ""formula"", ""headless-spreadsheet"", ""sheets"", ""spreadsheet"", ""typescript"", ""xls"", ""xlsx""]",1
bearer/pizzly,1,typescript,1122,https://github.com/bearer/pizzly.git,38,,.cursor/,2026-07-25T03:10:14.292681+00:00,2020-04-09T09:31:24,[],1
microsoft/clarity,1,typescript,2685,https://github.com/microsoft/clarity.git,41,,copilot-instructions.md,2026-07-25T03:10:15.074983+00:00,2020-04-30T12:42:51,"[""clarity"", ""heatmap"", ""session-replay""]",1
