repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,matched_config_file,processed_at,created_at,topics
Xed-Editor/Xed-Editor,1,java,2068,https://github.com/Xed-Editor/Xed-Editor.git,117,,,2026-07-29T03:04:33.555386+00:00,2024-02-21T06:15:55,"[""android"", ""android-app"", ""android-application"", ""android-studio"", ""code"", ""code-editor"", ""code-editor-mobile"", ""codeeditor"", ""fileviewer"", ""mobile-ide"", ""note-taking"", ""notes-app"", ""text-editing"", ""text-editor"", ""todo-app"", ""todoapp"", ""todolist"", ""xed-editor""]"
activiti/activiti,1,java,10541,https://github.com/activiti/activiti.git,230,,,2026-07-29T03:04:33.555386+00:00,2012-09-13T11:34:43,"[""activiti"", ""bpm"", ""bpmn"", ""business-process"", ""cloud"", ""hxps"", ""java"", ""microservices"", ""product-activiti"", ""spring""]"
afkt/devutils,1,java,1601,https://github.com/afkt/devutils.git,1,,,2026-07-29T03:04:33.555386+00:00,2018-09-07T05:43:54,"[""android"", ""compose"", ""coroutines"", ""databinding"", ""hilt"", ""jetpack"", ""kotlin"", ""leakcanary"", ""library"", ""lifecycle"", ""mvvm"", ""navigation"", ""okhttp"", ""permission"", ""retrofit"", ""room"", ""utils"", ""viewbinding"", ""viewmodel"", ""workmanager""]"
agents-flex/agents-flex,1,java,1022,https://github.com/agents-flex/agents-flex.git,42,,,2026-07-29T03:04:33.555386+00:00,2024-01-12T08:23:40,"[""agent"", ""ai"", ""chatbot"", ""chatgpt"", ""gpt"", ""langchain4j"", ""llama3"", ""llm"", ""ollama"", ""spring-ai""]"
agentscope-ai/agentscope-java,1,java,4329,https://github.com/agentscope-ai/agentscope-java.git,114,,,2026-07-29T03:04:33.555386+00:00,2025-09-23T04:37:43,"[""agent"", ""agentic"", ""agentic-ai"", ""ai"", ""llm""]"
ahoo-wang/cosid,1,java,637,https://github.com/ahoo-wang/cosid.git,15,,,2026-07-29T03:04:33.555386+00:00,2021-06-23T04:40:29,"[""clock"", ""clock-synchronization"", ""cloud-native"", ""distributed"", ""generator"", ""gradle"", ""id"", ""id-generator"", ""idgenerator"", ""java"", ""k8s"", ""kubernetes"", ""microservice"", ""redis"", ""sharding"", ""snowflake"", ""spring"", ""spring-boot"", ""spring-cloud"", ""zookeeper""]"
aklivity/zilla,1,java,692,https://github.com/aklivity/zilla.git,23,,,2026-07-29T03:04:33.555386+00:00,2021-12-07T10:10:04,"[""api-gateway"", ""asyncapi"", ""event-driven-architecture"", ""event-stream-proxy"", ""event-streaming"", ""grpc"", ""iot"", ""kafka"", ""kafka-proxy"", ""mqtt"", ""openapi"", ""proxy"", ""rest"", ""server-sent-events"", ""streaming-api""]"
akto-api-security/akto,1,java,1488,https://github.com/akto-api-security/akto.git,55,,,2026-07-29T03:04:33.555386+00:00,2023-01-31T09:07:07,"[""api-discovery"", ""api-security"", ""api-security-posture"", ""api-security-testing"", ""api-testing"", ""authentication"", ""authorization"", ""devsecops"", ""devsecops-pipeline"", ""hacktoberfest"", ""hacktoberfest2023"", ""idor"", ""owasp-top-10"", ""security"", ""security-testing"", ""sensitive-data-exposure"", ""threat-detection""]"
alibaba/druid,1,java,28173,https://github.com/alibaba/druid.git,279,,,2026-07-29T03:04:33.555386+00:00,2011-11-03T05:12:51,[]
alibaba/fluss,1,java,1229,https://github.com/alibaba/fluss.git,59,,,2026-07-29T03:04:33.555386+00:00,2024-10-31T06:36:35,"[""analytics"", ""real-time"", ""streaming""]"
alibaba/nacos,1,java,33136,https://github.com/alibaba/nacos.git,386,,,2026-07-29T03:04:33.555386+00:00,2018-06-15T06:49:27,"[""a2a-registry"", ""agent"", ""ai-registry"", ""configuration-management"", ""distributed-configuration"", ""dubbo"", ""istio"", ""kubernetes"", ""mcp"", ""mcp-management"", ""mcp-registry"", ""microservices"", ""nacos"", ""prompt"", ""skills"", ""spring-cloud""]"
alibaba/qlexpress,1,java,5602,https://github.com/alibaba/qlexpress.git,14,,,2026-07-29T03:04:33.555386+00:00,2017-03-15T08:39:54,[]
alibaba/spring-ai-alibaba,1,java,10259,https://github.com/alibaba/spring-ai-alibaba.git,241,,,2026-07-29T03:04:33.555386+00:00,2024-09-09T01:35:50,"[""agentic"", ""artificial-intelligence"", ""context-engineering"", ""graph"", ""java"", ""multi-agent"", ""reactagent"", ""spring-ai"", ""workflow""]"
alipay/fury,1,java,2035,https://github.com/alipay/fury.git,22,,,2026-07-29T03:04:33.555386+00:00,2023-04-28T03:57:00,"[""compression"", ""cpp"", ""cross-language"", ""encoding"", ""fast"", ""golang"", ""hacktoberfest"", ""java"", ""javascript"", ""jit"", ""lightning"", ""marshalling"", ""multiple-language"", ""persistence"", ""python"", ""rpc"", ""rust"", ""serialization"", ""transfer"", ""zero-copy""]"
anonfaded/FadCam,1,java,2614,https://github.com/anonfaded/FadCam.git,13,,,2026-07-29T03:04:33.555386+00:00,2024-07-06T01:56:00,"[""android-app"", ""android-studio"", ""cam"", ""camera2-api"", ""camerax"", ""fadrec"", ""ffmpeg-android"", ""foss"", ""java"", ""material-design"", ""material-ui"", ""open-source"", ""record-video"", ""screenrecorder"", ""screenrecordingapp"", ""secret-recorder"", ""video-editing"", ""video-editing-tools""]"
antennapod/antennapod,1,java,8006,https://github.com/antennapod/antennapod.git,297,,,2026-07-29T03:04:33.555386+00:00,2012-07-31T10:25:08,"[""android"", ""apps"", ""hacktoberfest"", ""podcast-manager"", ""podcasting20""]"
anysoftkeyboard/anysoftkeyboard,1,java,3330,https://github.com/anysoftkeyboard/anysoftkeyboard.git,145,,,2026-07-29T03:04:33.555386+00:00,2012-04-18T12:38:01,"[""android"", ""anysoftkeyboard"", ""java"", ""language"", ""multiple-languages"", ""screen-keyboard""]"
apache/cassandra,1,java,9818,https://github.com/apache/cassandra.git,272,,,2026-07-29T03:04:33.555386+00:00,2009-05-21T02:10:09,"[""cassandra"", ""database"", ""java""]"
apache/dolphinscheduler,1,java,14355,https://github.com/apache/dolphinscheduler.git,356,,,2026-07-29T03:04:33.555386+00:00,2019-03-01T04:39:25,"[""airflow"", ""azkaban"", ""cloud-native"", ""data-pipelines"", ""job-scheduler"", ""orchestration"", ""powerful-data-pipelines"", ""task-scheduler"", ""workflow"", ""workflow-orchestration"", ""workflow-schedule""]"
apache/doris,1,java,15585,https://github.com/apache/doris.git,329,,,2026-07-29T03:04:33.555386+00:00,2017-08-10T12:13:30,"[""agent"", ""ai"", ""bigquery"", ""database"", ""delta-lake"", ""hudi"", ""iceberg"", ""lakehouse"", ""observability"", ""olap"", ""paimon"", ""query-engine"", ""real-time"", ""redshift"", ""search"", ""snowflake"", ""sql"", ""vector""]"
apache/fluss,1,java,1973,https://github.com/apache/fluss.git,148,,,2026-07-29T03:04:33.555386+00:00,2024-10-31T06:36:35,"[""big-data"", ""fluss"", ""hacktoberfest"", ""lakehouse"", ""real-time-analytics"", ""streaming""]"
apache/fory,1,java,4415,https://github.com/apache/fory.git,152,,,2026-07-29T03:04:33.555386+00:00,2023-04-28T03:57:00,"[""compression"", ""cpp"", ""cross-language"", ""encoding"", ""fast"", ""golang"", ""hacktoberfest"", ""java"", ""javascript"", ""jit"", ""lightning"", ""marshalling"", ""multiple-language"", ""persistence"", ""python"", ""rpc"", ""rust"", ""serialization"", ""transfer"", ""zero-copy""]"
apache/fury,1,java,3297,https://github.com/apache/fury.git,83,,,2026-07-29T03:04:33.555386+00:00,2023-04-28T03:57:00,"[""compression"", ""cpp"", ""cross-language"", ""encoding"", ""fast"", ""golang"", ""hacktoberfest"", ""java"", ""javascript"", ""jit"", ""lightning"", ""marshalling"", ""multiple-language"", ""persistence"", ""python"", ""rpc"", ""rust"", ""serialization"", ""transfer"", ""zero-copy""]"
apache/gravitino,1,java,3053,https://github.com/apache/gravitino.git,321,,,2026-07-29T03:04:33.555386+00:00,2023-04-23T02:09:00,"[""ai-catalog"", ""data-catalog"", ""datalake"", ""federated-query"", ""lakehouse"", ""metadata"", ""metalake"", ""model-catalog"", ""opendatacatalog"", ""skycomputing"", ""stratosphere""]"
apache/groovy,1,java,5447,https://github.com/apache/groovy.git,356,,,2026-07-29T03:04:33.555386+00:00,2015-04-16T07:00:05,"[""apache"", ""compiler"", ""dynamic-typing"", ""functional-programming"", ""groovy"", ""jvm-languages"", ""metaprogramming"", ""programming-language"", ""static-typing""]"
