repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,matched_config_file,processed_at,created_at,topics
didi/mpx,1,javascript,0,https://github.com/didi/mpx.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
docmirror/dev-sidecar,1,javascript,0,https://github.com/docmirror/dev-sidecar.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
doramart/doracms,1,javascript,0,https://github.com/doramart/doracms.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
draggable/formeo,1,javascript,0,https://github.com/draggable/formeo.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
dyatko/arkit,1,javascript,0,https://github.com/dyatko/arkit.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
dynamoose/dynamoose,1,javascript,0,https://github.com/dynamoose/dynamoose.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
eslint/eslint,1,javascript,0,https://github.com/eslint/eslint.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
ever-co/ever-traduora,1,javascript,0,https://github.com/ever-co/ever-traduora.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
facebook/hermes,1,javascript,0,https://github.com/facebook/hermes.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
facebook/react,1,javascript,0,https://github.com/facebook/react.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
fonoster/fonos,1,javascript,0,https://github.com/fonoster/fonos.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
foundry376/mailspring,1,javascript,0,https://github.com/foundry376/mailspring.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
freegroup/draw2d,1,javascript,0,https://github.com/freegroup/draw2d.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
glin/reactable,1,javascript,0,https://github.com/glin/reactable.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
gokrazy/gokrazy,1,javascript,0,https://github.com/gokrazy/gokrazy.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
hackjutsu/lepton,1,javascript,0,https://github.com/hackjutsu/lepton.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
handsontable/handsontable,1,javascript,0,https://github.com/handsontable/handsontable.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
haraka/haraka,1,javascript,0,https://github.com/haraka/haraka.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
harvard-lil/perma,1,javascript,0,https://github.com/harvard-lil/perma.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
highcharts/highcharts-react,1,javascript,0,https://github.com/highcharts/highcharts-react.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
hovancik/stretchly,1,javascript,0,https://github.com/hovancik/stretchly.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
humblesoftware/flotr2,1,javascript,0,https://github.com/humblesoftware/flotr2.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
imaegoo/twikoo,1,javascript,0,https://github.com/imaegoo/twikoo.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
inavflight/inav-configurator,1,javascript,0,https://github.com/inavflight/inav-configurator.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
increpare/puzzlescript,1,javascript,0,https://github.com/increpare/puzzlescript.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
irosthebeggar/mstream,1,javascript,0,https://github.com/irosthebeggar/mstream.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
jens-maus/raspberrymatic,1,javascript,0,https://github.com/jens-maus/raspberrymatic.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
jeremydaly/lambda-api,1,javascript,0,https://github.com/jeremydaly/lambda-api.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
jihong88/suneditor,1,javascript,0,https://github.com/jihong88/suneditor.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
jimmywarting/native-file-system-adapter,1,javascript,0,https://github.com/jimmywarting/native-file-system-adapter.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
jonobr1/two.js,1,javascript,0,https://github.com/jonobr1/two.js.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
jpush/jpush-phonegap-plugin,1,javascript,0,https://github.com/jpush/jpush-phonegap-plugin.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
jsdom/jsdom,1,javascript,0,https://github.com/jsdom/jsdom.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
keyboardio/chrysalis,1,javascript,0,https://github.com/keyboardio/chrysalis.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
krausest/js-framework-benchmark,1,javascript,0,https://github.com/krausest/js-framework-benchmark.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
lacymorrow/crossover,1,javascript,0,https://github.com/lacymorrow/crossover.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
leonardomso/33-js-concepts,1,javascript,0,https://github.com/leonardomso/33-js-concepts.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
liriliri/licia,1,javascript,0,https://github.com/liriliri/licia.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
louislam/uptime-kuma,1,javascript,0,https://github.com/louislam/uptime-kuma.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
lowdefy/lowdefy,1,javascript,0,https://github.com/lowdefy/lowdefy.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
maildev/maildev,1,javascript,0,https://github.com/maildev/maildev.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
marcocesarato/react-native-big-list,1,javascript,0,https://github.com/marcocesarato/react-native-big-list.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
marko-js/marko,1,javascript,0,https://github.com/marko-js/marko.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
marktext/marktext,1,javascript,0,https://github.com/marktext/marktext.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
mattiasw/exifreader,1,javascript,0,https://github.com/mattiasw/exifreader.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
