repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,matched_config_file,processed_at,created_at,topics
databiosphere/toil,1,python,0,https://github.com/databiosphere/toil.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
datadog/dd-trace-py,1,python,0,https://github.com/datadog/dd-trace-py.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
datadog/integrations-core,1,python,0,https://github.com/datadog/integrations-core.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
datafolklabs/cement,1,python,0,https://github.com/datafolklabs/cement.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
datalad/datalad,1,python,0,https://github.com/datalad/datalad.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
deepset-ai/haystack,1,python,0,https://github.com/deepset-ai/haystack.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
devbisme/skidl,1,python,0,https://github.com/devbisme/skidl.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
digitalbazaar/pyld,1,python,0,https://github.com/digitalbazaar/pyld.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
dimagi/commcare-hq,1,python,0,https://github.com/dimagi/commcare-hq.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
dipu-bd/lightnovel-crawler,1,python,0,https://github.com/dipu-bd/lightnovel-crawler.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
django-import-export/django-import-export,1,python,0,https://github.com/django-import-export/django-import-export.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
django-parler/django-parler,1,python,0,https://github.com/django-parler/django-parler.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
django/django,1,python,0,https://github.com/django/django.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
domainaware/parsedmarc,1,python,0,https://github.com/domainaware/parsedmarc.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
drakkar-software/octobot,1,python,0,https://github.com/drakkar-software/octobot.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
efroemling/ballistica,1,python,0,https://github.com/efroemling/ballistica.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
eirannejad/pyrevit,1,python,0,https://github.com/eirannejad/pyrevit.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
elyra-ai/elyra,1,python,0,https://github.com/elyra-ai/elyra.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
emeryberger/csrankings,1,python,0,https://github.com/emeryberger/csrankings.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
emilstenstrom/django-components,1,python,0,https://github.com/emilstenstrom/django-components.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
enarjord/passivbot,1,python,0,https://github.com/enarjord/passivbot.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
enms-automation/enms,1,python,0,https://github.com/enms-automation/enms.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
espressif/esptool,1,python,0,https://github.com/espressif/esptool.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
etal/cnvkit,1,python,0,https://github.com/etal/cnvkit.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
ethereum/consensus-specs,1,python,0,https://github.com/ethereum/consensus-specs.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
ethereum/eth2.0-specs,1,python,0,https://github.com/ethereum/eth2.0-specs.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
ethereum/execution-specs,1,python,0,https://github.com/ethereum/execution-specs.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
ets-labs/python-dependency-injector,1,python,0,https://github.com/ets-labs/python-dependency-injector.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
evennia/evennia,1,python,0,https://github.com/evennia/evennia.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
evhub/coconut,1,python,0,https://github.com/evhub/coconut.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
ewels/multiqc,1,python,0,https://github.com/ewels/multiqc.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
exa-networks/exabgp,1,python,0,https://github.com/exa-networks/exabgp.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
