commit_sha,repo_removed,repo_kept,language,cluster_size,stars_removed,stars_kept
91dd8c81af08b255a8f0d0c1693c592a6a47eb2b,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
4f5683db69de24fac494bd755b34696f0c526d21,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
1d95abb7931f48dcafb6e479012dade1a5ed29b2,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
11d7f5dddc99ebdd686b4b484afc17eacf19411b,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
34fabdc413963643d49e41fed72d28d8287e8cce,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
db09ff577f668a0828672595e3ef86dffcc8aee1,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
85b39f2151a755af8d26f4e6e208125a67573421,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
dbd05b4b8c23404a46c09f10da273a16d1c2d461,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
d20480468a12ba88563c10f4347716ec7baf0262,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
7e4f3e23336e365177e4b5ec37c0551ed61a26e6,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
8938333da325cc01a75a123f633e0c6516036663,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
18b21a5a913e8586eb42cd6a350305c3416d863b,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
b41477602dc99d0f8cb5d77953fffb77ad9e0a71,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
8b12f41890bb83b8f4f56330ee6a004c6aaf4f14,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
82ef776a978a59b5df26a957b4c226905c52ff1f,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
519de413306c7565003bc1330ea609444fe95153,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
13d3c410cd943ec544e88a9bdfb3f3544ba8b8d9,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
e509b93d0f0317b89203c07064dbb02a1499eb41,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
4192cce98d3157ed5f2ae56a59c99101f40ae616,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
fa9c4541ab886ccc15f8488915a3f7ced2047c6e,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
9e133766f2d65b4d7824174c57a86290db252d2b,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
8ddbe09ed365a2f4bba55a05c4beb3b84b433e0b,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
b78e3c22f7f2c8e3bd691b506f1f1779830566f5,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
d2750eb71a9b300100b1d2152f7207b2d7b38346,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
4d9facc5a72f29d90b234029006ac609678d8a73,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
ce56c46537a3c0eae0e74c70afcadae120c357a1,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
fb7ddfc10b9d32df0687ab3450aa90a0a55aa654,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
9ae0adbd81d12db5f5298b711767b9ca8fcfc06a,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
5875e1cf7692a629e373b2d2fa03e9f1c4ae6bee,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
f3995e1024c540c2d7ef3c2387f817ed44f38d5f,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
cca09d61b1a86e2559533b9318b6a23855530e06,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
1fcfdd01488523561dfe4df5deea98f4bfb32548,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
b6b5d74905b5d7861dfa9450bca73e8c00470280,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
4c11b523f35b5001ee069776f8fbe023da8a93e3,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
a87c6e88a1e0b28ab63c0190e105ff02241b74df,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
20cac5cd1a27c3c8eff821c5a08d0341157853b4,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
885c5c80e7c8805c35a65d8cb8c97b95b5925053,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
74d67497bb050963b3f3fc852c1c86c4a0cbd9c4,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
4ebce4dffd3954f829084076feaf23981836c87c,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
2984d53cc46e5ad35a3a8ab81654a3e597edf312,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
134cb99b97c94d6f23a539f12f54831c40404cae,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
cd3581796e5d1b3808b604345f352c89fdffdcb6,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
dea1520d959d368caa2c15923a9a7cdb4ca10a6e,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
41d511ec562883687cf49dc4c3c9c6feee0d9823,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
